"file","replace","regexReplace","appendPatch","substringSplice","containsGuards"
"build-update-0.80.63.ps1","2","6","0","0","0"
"build-update-0.80.64.ps1","1","1","0","0","0"
"build-update-0.80.65.ps1","2","1","0","0","0"
"build-update-0.80.66.ps1","2","1","0","0","0"
"build-update-0.80.67.ps1","2","1","0","0","0"
"build-update-0.80.68.ps1","3","1","0","0","1"
"build-update-0.80.69.ps1","3","2","0","0","1"
"build-update-0.80.70.ps1","6","2","0","0","3"
"build-update-0.80.71.ps1","4","0","0","0","4"
"build-update-0.80.72.ps1","10","0","0","0","3"
"build-update-0.80.73.ps1","6","0","0","1","3"
"build-update-0.80.74.ps1","5","0","0","0","2"
"build-update-0.80.75.ps1","10","0","0","0","2"
"build-update-0.80.77.ps1","12","0","0","0","10"
"build-update-0.80.78.ps1","7","2","0","1","3"
"build-update-0.80.79.ps1","9","0","0","0","3"
"build-update-0.80.80.ps1","8","1","0","0","3"
"build-update-0.80.81.ps1","10","1","0","0","5"
"build-update-0.80.82.ps1","7","0","0","0","6"
"build-update-0.80.83.ps1","6","1","0","0","4"
"build-update-0.80.84.ps1","7","2","0","0","4"
"build-update-0.80.85.ps1","7","0","0","2","1"
"build-update-0.80.86.ps1","6","0","0","0","3"
"build-update-0.80.87.ps1","6","1","0","2","2"
"build-update-0.80.88.ps1","2","0","0","2","0"
"build-update-0.80.89.ps1","2","0","0","4","0"
"build-update-0.80.90.ps1","2","0","0","2","0"
"build-update-0.80.91.ps1","5","4","0","0","0"
"build-update-0.80.92.ps1","3","0","0","0","3"
"build-update-0.80.93.ps1","2","0","0","2","0"
"build-update-0.80.94.ps1","20","0","0","0","8"
"build-update-0.80.95.ps1","4","0","0","0","2"
"build-update-0.80.96.ps1","11","0","0","2","6"
"build-update-0.80.97.ps1","5","0","0","4","9"
"build-update-0.80.98.ps1","2","0","0","2","6"
"build-update-0.80.99.ps1","4","0","0","2","6"
"build-update-0.81.00.ps1","4","0","0","6","13"
"build-update-0.81.01.ps1","4","0","0","6","14"
"build-update-0.81.02.ps1","3","0","0","0","19"
"build-update-0.81.03.ps1","6","0","0","0","17"
"build-update-0.81.04.ps1","11","0","2","0","29"
"build-update-0.81.05.ps1","6","0","1","2","14"
"build-update-0.81.06.ps1","4","1","3","2","16"
"build-update-0.81.07.ps1","2","0","2","0","14"
"build-update-0.81.08.ps1","11","0","3","6","19"
"build-update-0.81.09.ps1","2","0","0","2","5"
"build-update-0.81.10.ps1","4","0","0","0","8"
"build-update-0.81.11.ps1","6","0","0","0","8"
"build-update-0.81.12.ps1","4","0","0","0","9"
"build-update-0.81.13.ps1","6","5","2","1","17"
"build-update-0.81.14.ps1","2","0","1","2","15"
"build-update-0.81.15.ps1","2","0","2","2","15"
"build-update-0.81.16.ps1","2","0","2","3","15"
