"name","line","refs","snippet"
"tasksMarkup","1289","1","}).join("""")}</div>`; } function tasksMarkup() { return state.tasks .map("
"dormProgramIsHolisticTarget","1902","1","return ''; } function dormProgramIsHolisticTarget(program){ return program?.kind==='selected'||(program?.kind==='common'&&program?.reportRequired===true); }"
"nightMatrixStatus","2242","1","return {cls:""program"",label:title.length>8?`${title.slice(0,7)}…`:title,kind:program?.kind||""general""}; } function nightMatrixStatus(student, day, slot, rows) { const studentKey = attendanceStudentKey(student); const row = rows.find(item => item.date === day && nightSlotName(item) === slot && (String(item.studentId || """") === String(student.id || """") || attendanceStudentKey(item) === studentKey || String(item.studentNo || """") === String(student.studentNo || """")));"
"subjectsView","2587","1","$(""#drawerBody"").innerHTML = `<div class=""history-summary positive""><span><small>학번</small><b class=""privacy-sensitive-text"">${escapeHtml(student.studentNo||""-"")}</b></span><span><small>학급</small><b>${escapeHtml(student.className||""-"")}반</b></span><span><small>일자</small><b>${escapeHtml(day)}</b></span><span><small>시간</small><b>${escapeHtml(slot)}</b></span></div><div class=""drawer-section""><h4>야자출결 상세</h4><dl class=""detail-list""><dt>결과</dt><dd>${escapeHtml(row?.result||""출석 기록 없음"")}</dd><dt>소속·유형</dt><dd>${escapeHtml(row?.affiliation||row?.type||""일반 야자"")}</dd><dt>상세</dt><dd>${escapeHtml(row?.detail||""-"")}</dd><dt>원본 시간</dt><dd>${escapeHtml(row?.time||row?.period||slot)}</dd></dl></div><p class=""drawer-note"">방과후·야간심화·추가 프로그램 상태는 해당 프로그램 상세 화면으로 바로 연결됩니다.</p>`; } function subjectsView() { return `<div class=""module-page"">${toolbar(""학생·희망과목·오류 검색"", ""신청 입력"")}<div class=""data-card""><div class=""data-head student-grid""><span>학번</span><span>학생</span><span>1차 신청</span><span>상담</span><span>상태</span></div>${samples.students.map((r, i) => `<div class=""data-row student-grid""><b>${r[0]}</b><span>${r[1]}</span><span>${i === 2 ? ""미신청"" : ""완료""}</span><span>${i === 2 ? ""필요"" : ""-""}</span><span class=""state ${i === 2 ? ""warn"" : """"}"">${i === 2 ? ""확인 필요"" : ""정상""}</span></div>`).join("""")}</div></div>`;"
"schoolScheduleTimetableMarkup","2591","1","return `<div class=""module-page"">${toolbar(""학생·희망과목·오류 검색"", ""신청 입력"")}<div class=""data-card""><div class=""data-head student-grid""><span>학번</span><span>학생</span><span>1차 신청</span><span>상담</span><span>상태</span></div>${samples.students.map((r, i) => `<div class=""data-row student-grid""><b>${r[0]}</b><span>${r[1]}</span><span>${i === 2 ? ""미신청"" : ""완료""}</span><span>${i === 2 ? ""필요"" : ""-""}</span><span class=""state ${i === 2 ? ""warn"" : """"}"">${i === 2 ? ""확인 필요"" : ""정상""}</span></div>`).join("""")}</div></div>`; } function schoolScheduleTimetableMarkup(){ const anchor=new Date(`${calendarSelectedDate||dateKey(today)}T12:00:00`); const monday=new Date(anchor); monday.setDate(anchor.getDate()-((anchor.getDay()+6)%7));"
"inputCenterApplyStudentNo","2899","1","else toast(({'Excel·CSV':'교사 파일','문서 파일':'교사 파일'}[inputCenterConfig.source]||inputCenterConfig.source)==='수기 스캔'?`${incoming.length}장 → ${Math.ceil(incoming.length/per)}개 학생 보고서 묶음으로 가져왔습니다.`:`${incoming.length}개 파일을 배치로 가져왔습니다.`); } function inputCenterApplyStudentNo(draft,no){ const student=(readonlyCache?.students||[]).find(s=>String(s.studentNo||'')===String(no||'').trim()); if(student){draft.studentId=student.id||'';draft.studentNo=student.studentNo||'';draft.name=student.name||'';draft.grade=student.grade||String(student.studentNo||'').slice(0,1);draft.className=String(student.className||classNumberOf(student)||'').replace(/반/g,'');draft.matchStatus='교사확인';return true;}"
"inputCenterSuggestTarget","2957","1","$('[data-input-detail-save]')?.addEventListener('click',()=>{row.reviewText=$('[data-input-review-text]')?.value||'';row.status=row.reviewText?'텍스트검수완료':row.status;toast('확인한 내용을 저장했습니다.');closeDrawer();render('inputs');}); } function inputCenterSuggestTarget(rows=[]){ const joined=rows.map(r=>`${r.type||''} ${r.subtype||''} ${r.title||''}`).join(' ');"
"outputProgramCardMarkup","3149","1","return `<div class=""output-standard-section-head""><div><small>${escapeHtml(kicker)}</small><h3>${escapeHtml(title)}</h3><p>${escapeHtml(desc)}</p></div>${stats?`<div class=""output-standard-kpis"">${stats}</div>`:''}</div>`; } function outputProgramCardMarkup(item,selected=false,meta=''){ const title=item.actualTitle||item.title||item.recordTitle||item.name||String(item); return `<button class=""output-standard-program ${selected?'active':''}""><div><small>${escapeHtml(item.type||item.area||item.kind||'PROGRAM')}</small><h4>${escapeHtml(title)}</h4><p>${escapeHtml(meta||[item.date,item.time,item.place].filter(Boolean).join(' · ')||'운영정보 확인')}</p></div><em>${selected?'선택됨':'선택'} ›</em></button>`;"
"subjectsOutputPanel","3180","1","return `${outputStandardSection('REPORT CENTER','프로그램별 보고서','활동영역 → 프로그램 → 제출학생 → 실제 보고서 순서로 확인합니다.',`<span><b>${programs.length}</b>프로그램</span><span><b>${submitted}</b>제출</span><span><b>${missing}</b>미제출</span>`)}<div class=""output-scope-tabs standard""><button class=""active"" data-output-report-scope=""program"">프로그램별</button><button data-output-report-scope=""student"">학생 개인별</button></div>${outputCategoryCards('report')}<section class=""output-standard-stage""><header><div><small>STEP 02 · PROGRAM</small><h3>프로그램 선택</h3><p>프로그램ID 기준으로 동일 프로그램의 보고서를 한 카드로 묶습니다.</p></div></header><div class=""output-standard-program-grid"">${programs.map(p=>{const count=categoryRows.filter(r=>outputReportProgramKey(r)===p.key).length;return `<button class=""output-standard-program ${outputCenterState.program===p.key?'active':''}"" data-output-program-card=""${escapeHtml(p.key)}""><div><small>REPORT PROGRAM</small><h4>${escapeHtml(p.label)}</h4><p>보고서 ${count}건</p></div><em>${outputCenterState.program===p.key?'선택됨':'선택'} ›</em></button>`}).join('')||'<div class=""empty-state"">해당 영역의 보고서가 없습니다.</div>'}</div></section><section class=""output-standard-stage""><header><div><small>STEP 03 · STUDENTS</small><h3>제출 학생</h3><p>출력할 학생을 선택한 뒤 실제 보고서를 확인합니다.</p></div><div class=""output-bulk-actions""><span>${filtered.length}건</span><button class=""btn secondary"" data-output-select-visible>현재 목록 전체선택</button><button class=""btn primary"" data-output-bulk-report-print>선택 보고서 인쇄</button></div></header><div class=""output-table""><div class=""output-row head""><span></span><span>반</span><span>학번·이름</span><span>보고서</span><span>제출일</span><span>보기</span></div>${filtered.map(r=>`<div class=""output-row""><span>${outputCheckbox(r.id)}</span><span>${escapeHtml(r.classNo||'-')}반</span><span>${escapeHtml(`${r.studentNo||''} ${r.studentName||''}`)}</span><span><b>${escapeHtml(outputReportProgramLabel(r))}</b></span><span>${escapeHtml(reportSubmissionLabel(r))}</span><span><button class=""link-button"" data-open-student-report=""${escapeHtml(r.id)}"">보기</button></span></div>`).join('')||'<div class=""empty-state"">조건에 맞는 보고서가 없습니다.</div>'}</div></section>`; } function subjectsOutputPanel(){ const errors=readonlyCache?.selectionSubjectErrors||[]; const students=readonlyCache?.students||[];"
"studentReportsOutputPanel","3220","1","return studentCanonicalReports(student); } function studentReportsOutputPanel(){ const student=outputSelectedStudent(); const reports=student?studentAllReports(student):[];"
"emptyModule","3459","1","setTimeout(()=>URL.revokeObjectURL(a.href),1000); } function emptyModule(title, desc) { return `<div class=""module-page"">${toolbar(""학생·항목 검색"", ""자료 연결"")}<div class=""data-card empty-state""><span>◇</span><h3>${title}</h3><p>${desc}</p><button class=""btn primary"">연결 설정 보기</button></div></div>`;"
"issueReportButtonMarkup","3901","1","toast(next?'개인정보 보호 모드를 켰습니다. 기능은 유지하고 주요 개인정보만 가립니다.':'개인정보 보호 모드를 해제했습니다.'); } function issueReportButtonMarkup(){return `<button class=""nav"" id=""studentGuidanceButton""><span>✎</span><b>학생지도</b></button>`;} function openStudentGuidanceDialog(){"
"accessControlInlineMarkup","4008","1","return `<div class=""settings-tabs settings-final-tabs"">${tabs.map(([id,label])=>`<button class=""${settingsPanel===id?'active':''}"" data-settings-panel=""${id}"">${label}</button>`).join('')}</div>`; } function accessControlInlineMarkup(){ const p=currentUserProfile(), isAdmin=currentRoleId()===""admin"";"
"internalNineGradeReferenceMap","4346","1","return 9; } function internalNineGradeReferenceMap(rows){ const subjectGroups=new Map(); rows.forEach(row=>{"
"admissionCutLimit","4626","1",".replace(/[()·.\-_/]/g,""""); } function admissionCutLimit(value){ if(value===null||value===undefined||value==='')return null; const direct=Number(value);"
