name,kind,oldKind,finalKind,oldLine,newLine,oldChars,newChars,oldHash,newHash,oldOnlyCount,newOnlyCount,oldOnly,newOnly
"selectionComparisonsForStudent","FLATTEN","declaration","assignment","3039","11895","241","1519","d664d3b3ac05","7cf504d5f30a","10","48","String count date id readonlyCache selectionComparisons stude studentId studentNo x","Array Boolean Set a added b const curriculumTermOrder false has if isArray isMain isPre length main mainSubjects mainTermsForStudent map mentioned new null originalComparisons pre preSubjects r rawRowsForStudent removed rows sem semester some sort status stored subjectText t term termLabel termText terms termsMentioned test text true typeof waiting waitingForMissingMain"
"selectionComparisonMarkup","FLATTEN","declaration","assignment","3043","11988","1666","938","29f0c6d20a7a","081de4675525","34","29","APPLICATION CONSULTATION Form Google MAIN PRE a added article card change columns compare curriculumTermOrder em grid h3 help i join mainSubjects map p panel preSubjects removed same small sort studentNo summary term title udentNo","Selection UEP __UEP_FINAL_REFINEMENT_08090__ amp c cards curriculum e esc explanatory g gt injection lt not nsole process quot replace result results sel show skipped style test typeof waiting warn"
"selectionComparisonMarkup","FLATTEN","assignment","assignment","11917","11988","1793","938","1f952b0d9063","081de4675525","36","28","Boolean Form Google MAIN PRE Subjects added article card columns compact compare details em grid h3 help i includes join main mainSubjects map p panel pre preAvailable preSubjects preTermsForStudent removed same size small summary term title","Selection String UEP __UEP_FINAL_REFINEMENT_08090__ amp c cards curriculum e esc explanatory g gt injection lt not nsole process quot replace result results sel show skipped style typeof warn"
"selectionErrorHistoryMarkup","FLATTEN","declaration","assignment","3049","11998","1073","707","5b3fc155871e","276c394154a8","28","17","Form Google HISTORY VALIDATION b bad category class em error escapeHtml filter grid h3 header history id length mainMessage preMessage readonlyCache resolved rows selectionErrorTransitions studentId studentNo waiting warning","add box classList createElement document esc firstElementChild html i innerHTML mainSubjects preSubjects prior s sec typeof validation"
"selectionErrorHistoryMarkup","FLATTEN","assignment","assignment","11933","11998","1570","707","66e0e4dd3448","276c394154a8","37","18","Boolean HISTORY VALIDATION bad category class compact detail details error filter h3 header his history id length mainMessage message null originalErrors preMessage readonlyCache resolved rows selectionErrorTransitions selectionErrorsForStudent stored studentId studentNo subject summary terms text type waiting waitingForMissingMain","add article box classList createElement document esc firstElementChild html i innerHTML mainSubjects preSubjects prior s sec typeof validation"
"sdgsDashboard","SHADOW","declaration","declaration","5729","12403","6018","7654","f5db4609cdd6","fdbb9da5b771","34","76","GUIDE HOMEROOM active activityRows areaCounts areaSummary button chip detailNo details di em evidenceText inline item lens mini recordSdgsDetail reports rows sdgMap seenReports selected storyText subject summary tag topCareers topSdgs topicText trim v081 value valueCards","Google MutationObserver THIS UEP WHY __UEP_EVIDENCE_GROWTH_08082__ ac activity annotateGoogleConnection appendChild bc br break catch childList chips className cls conf confirmed confirmedEvidence continue createElement dataset description document documentElement drawer erBody evidenceMarkup for google innerHTML key li list marginTop more nonblocking note obs observe of ordered poss possible possibleEvidence priority querySelector reduce representatives requestAnimationFrame sdgsEvidenceCardsRendered seen service services setTimeout setup some strength style subtree t test text textContent topics true try uep uepGoogleNonblockingNote ul v082 volunteer volunteers warning"
"selectionErrorsForStudent","FLATTEN","declaration","assignment","5954","11928","411","238","fd5979f1cf04","1c8a4e54d981","17","13","Set allowed b empty function head new query readonlyCache record recordMode return rows selectionErrorsForStudent selectionSubjectError student table","added article details escapeHtml join length originalErrors removed selectio span tml typeof x"
"recordsView","FLATTEN","declaration","assignment","6060","12591","4353","316","70fd17a139cb","e18fea3de1d0","110","11","ACTIVITY Array BULK CURRICULUM FINAL MESSAGE Number RECORD SUBJECT_REAPPLICATION_FORM_URL String _ _blank a actions active activities allStudents article b bar btn bulk bundle button classCards classStudents content copy curriculum curriculumBulkMessageText curriculumBulkPanel curriculumMessagePanel dashboard data else error escapeHtml final finalRecords find from function generate hidden href i id if inline join label let main map message mode module noreferrer number only open option options p page panel personal personalToolbar primary programs query readonly readonlyCache record recordClassNo recordClassTable recordCurriculumErrorOnly recordMode recordPersonalContent recordQueryMode recordStudentClass recordStudentId recordStudentSelect recordWriterWorkspace records recordsView rel reports s secondary select selected selectionErrorsForStudent some sort span student studentNo studentRecordBundle students summary switch tabs target textarea toolbar type v0601 value visibleClassStudents","EVIDENCE LIVE MAP confirmed evidence found live ngth possible state x"
"findPopupRoot","SHADOW","declaration","declaration","12072","12145","696","537","ede9477d6fa9","de11fb576e10","31","22","UI __UEP_APPROVAL_POPUP_FIX_08066__ c children div else exactTitleNode find findPopupRoot for getBoundingClientRect h1 h2 h3 h4 i length let n null parentElement querySelectorAll r scheduleWeatherLoad span textContent therLoad timeout title trim width","MutationObserver __UEP_APPROVAL_P __UEP_APPROVAL_POPUP_FIX_08067__ addEventListener applyFix childList clientHeight documentElement important new obs observe overflow requestAnimationFrame resize rr scrollHeight setProperty style subtree visible y"
"applyFix","SHADOW","declaration","declaration","12090","12168","1818","2133","204af6369ffd","eb1070e89e87","25","19","X aria borderRadius borderTopWidth button buttons close closest dialog for getAttribute hasClose i label let modal parentElement popup role rr some textNodes title toLowerCase visible","block bottom display false hidden impo isCard leftCandidates line list null overflowY padding scope scroll scrollHeight sort texts top"
"uepStudentApplicationDetail","SHADOW","declaration","declaration","12534","12574","1713","1402","690394466029","1798d252d034","57","34","PC Set String __UEP_REFINEMENT_08107__ afterend alert async await canceled classNo clear cls decisions e fileName filter first g host if includeDismissed includes insertAdjacentElement inspectNeisRecordbook linked makeRecords mount neis new onclick open openRuleManager panel querySelector reason recordStudentClass records related render replace result results root rules schoolBoard scope session sheets some sourceSheets subject term toast type uepMountRecordbookValidator uepSelectionSubjectState window","SDGs active activities analysis b button count curriculum curriculumErrorOnly curriculumErrorType curriculumRosterSort curriculumSubjectKey curriculumTermFilter curriculumWorkspaceMode escapeHtml final grade id main mode record recordMode rkspaceMode sdgs small span studentNo students subjects tabs uepCurriculumNav uepMainRecordTabs uepSelectionErrorLabel workspace"
"uepStudentApplicationView","SHADOW","declaration","declaration","12535","12575","3270","3014","d9f5375d4562","015010c9c55d","32","20","__UEP_REFINEMENT_08107__ alert allRows classNo classRo clear cls decisions false fileName first four g includeDismissed includes linked mount neis onclick querySelector records related render root scope session state subject title uepMountRecordbookValidator uepSelectionSubjectState window","SDGs active activities analysis count curriculumWorkspaceMode final main mode ok pMainRecordTabs record recordMode sdgs studen students subjects tabs uepCurriculumNav workspace"
