name,line,page,check,historyRefs
"tasksMarkup","1289","dashboard","대시보드 관련 기능 확인","0"
"dormProgramIsHolisticTarget","1902","programs","프로그램 관련 기능 확인","0"
"nightMatrixStatus","2242","attendance","기숙·출결 관련 기능 확인","0"
"subjectsView","2587","subjects","교과 관련 기능 확인","0"
"schoolScheduleTimetableMarkup","2591","timetable","시간표·학교일정 관련 기능 확인","0"
"inputCenterApplyStudentNo","2899","students","학생정보 관련 기능 확인","0"
"inputCenterSuggestTarget","2957","manual-review","연결 화면 수동 확인","0"
"outputProgramCardMarkup","3149","programs","프로그램 관련 기능 확인","0"
"subjectsOutputPanel","3180","outputs","출력센터 관련 기능 확인","0"
"studentReportsOutputPanel","3220","students","학생정보 관련 기능 확인","0"
"emptyModule","3459","manual-review","연결 화면 수동 확인","0"
"issueReportButtonMarkup","3901","manual-review","연결 화면 수동 확인","0"
"accessControlInlineMarkup","4008","manual-review","연결 화면 수동 확인","0"
"internalNineGradeReferenceMap","4346","admissions","입시·성적 관련 기능 확인","0"
"admissionCutLimit","4626","admissions","입시·성적 관련 기능 확인","0"
"counselRecordLabel","4780","students","학생정보 관련 기능 확인","0"
"recordAreaPanel","5125","records","생활기록부 관련 기능 확인","0"
"autoInferCareerDatesForClass","5292","records","생활기록부 관련 기능 확인","0"
"dateDistanceDays","5335","manual-review","연결 화면 수동 확인","0"
"careerDateEditor","5428","records","생활기록부 관련 기능 확인","0"
"extractRecordCore","5524","records","생활기록부 관련 기능 확인","0"
"normalizeRecordEnding","5534","records","생활기록부 관련 기능 확인","0"
"recordEvidenceSignals","5540","students","학생정보 관련 기능 확인","0"
"sdgsEvidenceForGoal","5697","records","생활기록부 관련 기능 확인","0"
"stripProgramDatesFromRecordText","5923","records","생활기록부 관련 기능 확인","0"
"programTopTabs","6177","programs","프로그램 관련 기능 확인","0"
"formatTaskCompletedAt","6860","dashboard","대시보드 관련 기능 확인","0"
"fixedTeacherTimetableReference","6958","timetable","시간표·학교일정 관련 기능 확인","0"
"homeroomWeekMarkup","7114","timetable","시간표·학교일정 관련 기능 확인","0"
"safeWidget","7168","manual-review","연결 화면 수동 확인","0"
"dashboardTodayLessonsMarkup","7173","dashboard","대시보드 관련 기능 확인","0"
"dashboardSelectedDayMarkup","7201","dashboard","대시보드 관련 기능 확인","0"
"currentUserOvertimeTasks","7222","dashboard","대시보드 관련 기능 확인","0"
"dashboardCompactTasksMarkup","7252","dashboard","대시보드 관련 기능 확인","0"
"dashboardCompactNoticesMarkup","7274","dashboard","대시보드 관련 기능 확인","0"
"dashboardStudentStatusMarkup","7799","dashboard","대시보드 관련 기능 확인","0"
"workItemReadByCurrentUser","7955","manual-review","연결 화면 수동 확인","0"
"dashboardTopAlertsMarkup","8013","dashboard","대시보드 관련 기능 확인","0"
"completionStatusMarkup","8066","manual-review","연결 화면 수동 확인","0"
"openStudentCounselEdit","8261","students","학생정보 관련 기능 확인","0"
"todayProgramsMarkup","8394","programs","프로그램 관련 기능 확인","0"
"canRevealStudentSensitiveInfo","8434","students","학생정보 관련 기능 확인","0"
"signalRowsForStudent","8440","students","학생정보 관련 기능 확인","0"
"openMealDutyDrawer","8453","dashboard","대시보드 관련 기능 확인","0"
"retryGoogleConnection","9109","manual-review","연결 화면 수동 확인","0"
"openStudentTimetableDrawer","9205","students","학생정보 관련 기능 확인","0"
"studentActivityOverview","9217","students","학생정보 관련 기능 확인","0"
"sortUniversitiesByPriority","9355","admissions","입시·성적 관련 기능 확인","0"
"admissionPairCompatible","9425","admissions","입시·성적 관련 기능 확인","0"
"studentStatsRankCard","9555","students","학생정보 관련 기능 확인","0"
"sendProgramEmailNotice","10964","dashboard","대시보드 관련 기능 확인","0"
"prepareProgramSmsNotice","10972","dashboard","대시보드 관련 기능 확인","0"
"openProgramAttendanceQr","10977","programs","프로그램 관련 기능 확인","0"
"copyProgramRiroNotice","11022","dashboard","대시보드 관련 기능 확인","0"
"copyProgramIndividualNotices","11026","dashboard","대시보드 관련 기능 확인","0"
"copyProgramFamilyLetter","11037","programs","프로그램 관련 기능 확인","0"
"uepCompareSelectionHistory","12356","manual-review","연결 화면 수동 확인","2"
"uepSchoolGrowthGapSummary","12448","manual-review","연결 화면 수동 확인","1"
"bindSelectionAnalysis","12593","manual-review","연결 화면 수동 확인","11"
