"area","kind","name","count","risk","note"
"renderer","duplicate-function-declaration","uepSubjectApplicationView","2","HIGH","같은 함수명이 여러 번 선언됨"
"renderer","duplicate-function-declaration","sdgsDashboard","2","HIGH","같은 함수명이 여러 번 선언됨"
"renderer","duplicate-function-declaration","findPopupRoot","2","HIGH","같은 함수명이 여러 번 선언됨"
"renderer","duplicate-function-declaration","uepStudentApplicationDetail","2","HIGH","같은 함수명이 여러 번 선언됨"
"renderer","duplicate-function-declaration","uepStudentApplicationView","2","HIGH","같은 함수명이 여러 번 선언됨"
"renderer","duplicate-function-declaration","applyFix","2","HIGH","같은 함수명이 여러 번 선언됨"
"renderer","function-override","selectionComparisonMarkup","2","HIGH","기존 함수 뒤에서 재대입/override 가능"
"renderer","function-override","selectionErrorHistoryMarkup","2","HIGH","기존 함수 뒤에서 재대입/override 가능"
"renderer","function-override","recordsView","1","HIGH","기존 함수 뒤에서 재대입/override 가능"
"renderer","function-override","selectionComparisonsForStudent","1","HIGH","기존 함수 뒤에서 재대입/override 가능"
"renderer","function-override","selectionErrorsForStudent","1","HIGH","기존 함수 뒤에서 재대입/override 가능"
"renderer","function-override","uepSelectionDataset","1","HIGH","기존 함수 뒤에서 재대입/override 가능"
"renderer","wrapper-chain","selectionErrorHistoryMarkup","1","HIGH","captured as prior"
"renderer","wrapper-chain","recordsView","1","HIGH","captured as __uepRecordsBefore08106"
"renderer","wrapper-chain","uepSelectionDataset","1","HIGH","captured as __uepSelectionDatasetRaw08113"
"renderer","runtime-metric","addEventListener","239","MEDIUM","전체 실행코드 발생 횟수"
"renderer","runtime-metric","onclickAssignments","345","INFO","전체 실행코드 발생 횟수"
"renderer","runtime-metric","mutationObserver","9","HIGH","전체 실행코드 발생 횟수"
"renderer","runtime-metric","requestAnimationFrame","29","MEDIUM","전체 실행코드 발생 횟수"
"renderer","runtime-metric","setTimeout","41","MEDIUM","전체 실행코드 발생 횟수"
"renderer","runtime-metric","setInterval","6","HIGH","전체 실행코드 발생 횟수"
"renderer","runtime-metric","renderCalls","237","MEDIUM","전체 실행코드 발생 횟수"
"renderer","runtime-metric","documentQueryAll","18","INFO","전체 실행코드 발생 횟수"
"renderer","frequent-full-render","records","36","MEDIUM","동일 페이지 전체 render 반복 호출"
"renderer","frequent-full-render","inputs","26","MEDIUM","동일 페이지 전체 render 반복 호출"
"renderer","frequent-full-render","dashboard","21","MEDIUM","동일 페이지 전체 render 반복 호출"
"renderer","frequent-full-render","students","20","MEDIUM","동일 페이지 전체 render 반복 호출"
"renderer","frequent-full-render","attendance","17","MEDIUM","동일 페이지 전체 render 반복 호출"
"renderer","frequent-full-render","outputs","16","MEDIUM","동일 페이지 전체 render 반복 호출"
"renderer","frequent-full-render","settings","13","MEDIUM","동일 페이지 전체 render 반복 호출"
"renderer","frequent-full-render","programs","12","MEDIUM","동일 페이지 전체 render 반복 호출"
"renderer","frequent-full-render","scores","5","MEDIUM","동일 페이지 전체 render 반복 호출"
"renderer","frequent-full-render","work","5","MEDIUM","동일 페이지 전체 render 반복 호출"
"renderer","frequent-full-render","admissions","4","MEDIUM","동일 페이지 전체 render 반복 호출"
"renderer","frequent-full-render","dorm","4","MEDIUM","동일 페이지 전체 render 반복 호출"
"renderer","frequent-full-render","timetable","3","MEDIUM","동일 페이지 전체 render 반복 호출"
"css","duplicate-selector",".input-center-compact-setup label.grow","5","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector",".dashboard-report-program-row","3","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector",".input-center-compact-setup","3","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector",".input-center-compact-setup label","3","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector",".input-method-row>b","3","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector",".input-method-row","3","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector",".curriculum-term-grid-four","2","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector",".dashboard-report-program-row>.btn.compact","2","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector",".input-method-row button.active","2","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector",".input-method-row button","2","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector",".neis-decision-actions","2","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector",".neis-summary em","2","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector",".curriculum-filter-bar .record-class-cards","2","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector",".selection-roster-head,.selection-roster article","2","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector",".neis-summary","2","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector",".dorm-outing-editor-grid .wide","2","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector",".roster-six-columns .selection-roster-head,.roster-six-columns article","2","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector",".selection-section select","2","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector","#drawer .approval-nav-row b","2","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector","#drawer .approval-detail section p","2","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector","#drawer .approval-detail section b","2","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector","@media(max-width:1200px)","2","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector",".neis-rule-list article","2","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector",".growth-sdg-detail article","2","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector",".growth-sdg-grid","2","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector",".term-picker-cards","2","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector",".selection-hero","2","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector",".selection-section>header","2","MEDIUM","동일 selector가 여러 위치에 정의됨"
"css","duplicate-selector","#drawer .approval-nav-row span","2","MEDIUM","동일 selector가 여러 위치에 정의됨"
"repository","workflow-count","all-workflows","25","INFO","저장소 workflow 총수"
"repository","diagnostic-workflow-count","inspect/audit/probe","16","MEDIUM","실사용 배포와 무관한 점검 workflow 누적"
