"build","check"
"build-update-0.80.97.ps1","06 range 6000"
"build-update-0.80.97.ps1","direct final source"
"build-update-0.80.97.ps1","no legacy error import"
"build-update-0.80.97.ps1","direct selectedSubjects"
"build-update-0.80.97.ps1","subjectSelections export"
"build-update-0.80.97.ps1","no curriculum fallback"
"build-update-0.80.98.ps1","evidence card markup"
"build-update-0.80.98.ps1","evidence list markup"
"build-update-0.80.98.ps1","confirmed possible empty sorting"
"build-update-0.80.98.ps1","click detail disabled"
"build-update-0.80.98.ps1","purpose sentence single"
"build-update-0.80.98.ps1","card css marker"
"build-update-0.80.98.ps1","selection 06 fix preserved"
"build-update-0.80.99.ps1","oauth form serialization"
"build-update-0.80.99.ps1","oauth auto refresh"
"build-update-0.80.99.ps1","oauth auto connected marker"
"build-update-0.80.99.ps1","sdgs evidence cards"
"build-update-0.80.99.ps1","sdgs evidence lists"
"build-update-0.80.99.ps1","selection 06 connection preserved"
"build-update-0.81.00.ps1","login identity gateway"
"build-update-0.81.00.ps1","approval disabled"
"build-update-0.81.00.ps1","token exchange disabled"
"build-update-0.81.00.ps1","status has no user token call"
"build-update-0.81.00.ps1","authorize is bypassed"
"build-update-0.81.00.ps1","authorize has no browser flow"
"build-update-0.81.00.ps1","authorize has no token exchange"
"build-update-0.81.00.ps1","sdgs evidence cards"
"build-update-0.81.00.ps1","sdgs evidence list"
"build-update-0.81.00.ps1","sdgs rendered marker"
"build-update-0.81.00.ps1","selection 06 preserved"
"build-update-0.81.01.ps1","login identity gateway"
"build-update-0.81.01.ps1","school service account preserved"
"build-update-0.81.01.ps1","approval disabled"
"build-update-0.81.01.ps1","token exchange disabled"
"build-update-0.81.01.ps1","status has no user token call"
"build-update-0.81.01.ps1","authorize is bypassed"
"build-update-0.81.01.ps1","authorize has no browser flow"
"build-update-0.81.01.ps1","authorize has no token exchange"
"build-update-0.81.01.ps1","sdgs evidence cards"
"build-update-0.81.01.ps1","sdgs evidence list"
"build-update-0.81.01.ps1","sdgs rendered marker"
"build-update-0.81.01.ps1","selection 06 direct connection preserved"
"build-update-0.81.03.ps1","version 0.81.03"
"build-update-0.81.03.ps1","school recovery marker"
"build-update-0.81.03.ps1","legacy roots"
"build-update-0.81.03.ps1","same-PC recovery"
"build-update-0.81.03.ps1","fetch uses school resolver"
"build-update-0.81.03.ps1","credential status uses school resolver"
"build-update-0.81.03.ps1","no embedded private key"
"build-update-0.81.03.ps1","selection 06 preserved"
"build-update-0.81.03.ps1","privacy preserved"
"build-update-0.81.03.ps1","meal preserved"
"build-update-0.81.03.ps1","dorm outing preserved"
"build-update-0.81.03.ps1","recordbook preserved"
"build-update-0.81.04.ps1","version 0.81.04"
"build-update-0.81.04.ps1","06A range"
"build-update-0.81.04.ps1","06A export"
"build-update-0.81.04.ps1","selection page"
"build-update-0.81.04.ps1","active enrollment filter"
"build-update-0.81.04.ps1","dorm badge"
