name,count,locations,classification,reason,identifierRefs,windowRefs,globalRefs,htmlHandlerRefs,stringRefs,exportRefs,ipcRefs
close,6,gyomuon.js:57523 | gyomuon.js:377498 | gyomuon.js:645360 | gyomuon.js:779295 | gyomuon.js:783018 | gyomuon.js:1086626,KEEP_REQUIRED,generic local callback/helper name; repeated name alone is not duplication,96,0,0,0,3,8,1
add,5,gyomuon.js:438151 | gyomuon.js:486169 | gyomuon.js:1156986 | gyomuon.js:1202416 | main.cjs:46697,KEEP_REQUIRED,generic local callback/helper name; repeated name alone is not duplication,183,0,0,0,0,1,0
matches,3,gyomuon.js:850623 | gyomuon.js:875641 | gyomuon.js:894710,KEEP_REQUIRED,generic local callback/helper name; repeated name alone is not duplication,16,0,0,0,0,0,0
run,3,gyomuon.js:952328 | gyomuon.js:969670 | gyomuon.js:1139402,KEEP_REQUIRED,generic local callback/helper name; repeated name alone is not duplication,21,0,0,0,3,0,0
applyFix,2,gyomuon.js:1140892 | gyomuon.js:1143940,NEEDS_RUNTIME_TRACE,feature-level duplicate has dynamic/global/export evidence,8,0,0,0,0,2,0
deleteDormRule,2,gyomuon.js:124384 | main.cjs:60256,NEEDS_RUNTIME_TRACE,feature-level duplicate has dynamic/global/export evidence,6,0,0,0,0,1,1
enhance,2,gyomuon.js:1151873 | gyomuon.js:1164148,CONSOLIDATE_CANDIDATE,feature-level duplicate with no dynamic/global evidence in static scan,6,0,0,0,0,0,0
esc,2,gyomuon.js:1134067 | gyomuon.js:1170076,KEEP_REQUIRED,generic local callback/helper name; repeated name alone is not duplication,27,0,0,0,0,0,0
expectedSchoolPeriods,2,gyomuon.js:650707 | main.cjs:106487,CONSOLIDATE_CANDIDATE,feature-level duplicate with no dynamic/global evidence in static scan,4,0,0,0,0,0,0
find,2,gyomuon.js:225784 | gyomuon.js:419911,KEEP_REQUIRED,generic local callback/helper name; repeated name alone is not duplication,236,0,0,0,0,0,0
findPopupRoot,2,gyomuon.js:1140195 | gyomuon.js:1143101,CONSOLIDATE_CANDIDATE,feature-level duplicate with no dynamic/global evidence in static scan,4,0,0,0,0,0,0
finish,2,gyomuon.js:1000195 | main.cjs:81177,KEEP_REQUIRED,generic local callback/helper name; repeated name alone is not duplication,10,0,0,0,0,0,0
label,2,gyomuon.js:135102 | gyomuon.js:621674,KEEP_REQUIRED,generic local callback/helper name; repeated name alone is not duplication,987,0,0,0,0,0,0
match,2,gyomuon.js:795611 | gyomuon.js:852098,KEEP_REQUIRED,generic local callback/helper name; repeated name alone is not duplication,139,0,0,0,0,0,0
neisDateToLocalDate,2,gyomuon.js:650423 | main.cjs:106184,CONSOLIDATE_CANDIDATE,feature-level duplicate with no dynamic/global evidence in static scan,4,0,0,0,0,0,0
normalizeSelectionTerm,2,google-data.cjs:104672 | google-data.cjs:51207,CONSOLIDATE_CANDIDATE,feature-level duplicate with no dynamic/global evidence in static scan,8,0,0,0,0,0,0
opt,2,gyomuon.js:116903 | gyomuon.js:770891,KEEP_REQUIRED,generic local callback/helper name; repeated name alone is not duplication,13,0,0,0,0,0,0
push,2,gyomuon.js:618438 | main.cjs:155621,KEEP_REQUIRED,generic local callback/helper name; repeated name alone is not duplication,322,0,0,0,0,1,0
q,2,gyomuon.js:271257 | main.cjs:152022,KEEP_REQUIRED,generic local callback/helper name; repeated name alone is not duplication,24,0,0,0,0,0,0
render,2,gyomuon.js:68074 | gyomuon.js:1175953,KEEP_REQUIRED,generic local callback/helper name; repeated name alone is not duplication,240,0,0,0,0,3,0
rows,2,gyomuon.js:1090565 | gyomuon.js:1110721,KEEP_REQUIRED,generic local callback/helper name; repeated name alone is not duplication,748,0,0,0,0,0,0
sdgsDashboard,2,gyomuon.js:532165 | gyomuon.js:1156178,CONSOLIDATE_CANDIDATE,feature-level duplicate with no dynamic/global evidence in static scan,3,0,0,0,0,0,0
slotRange,2,gyomuon.js:168588 | google-data.cjs:39199,CONSOLIDATE_CANDIDATE,feature-level duplicate with no dynamic/global evidence in static scan,4,0,0,0,0,0,0
uepStudentApplicationDetail,2,gyomuon.js:1183931 | gyomuon.js:1194784,CONSOLIDATE_CANDIDATE,feature-level duplicate with no dynamic/global evidence in static scan,4,0,0,0,0,0,0
uepStudentApplicationView,2,gyomuon.js:1185645 | gyomuon.js:1196187,CONSOLIDATE_CANDIDATE,feature-level duplicate with no dynamic/global evidence in static scan,3,0,0,0,0,0,0
uepSubjectApplicationView,2,gyomuon.js:1188916 | gyomuon.js:1199513,CONSOLIDATE_CANDIDATE,feature-level duplicate with no dynamic/global evidence in static scan,3,0,0,0,0,0,0
updateStudents,2,gyomuon.js:957281 | gyomuon.js:958416,CONSOLIDATE_CANDIDATE,feature-level duplicate with no dynamic/global evidence in static scan,6,0,0,0,0,0,0
