name,file,score,domWrites,domReads,events,observers,timers,dataCalls,classification,reason
normalizeAdmissionMatchText,gyomuon.js,888,45,116,129,2,12,1,PERFORMANCE_CANDIDATE,observer/timer pressure warrants lifecycle review
escapeHtml,gyomuon.js,679,50,68,95,0,4,0,PERFORMANCE_CANDIDATE,repeated DOM rebuild/read pattern warrants render caching/diff review
inputCenterExportCsv,gyomuon.js,444,30,70,46,0,8,0,PERFORMANCE_CANDIDATE,observer/timer pressure warrants lifecycle review
recordProgramMatchName,gyomuon.js,417,47,34,36,0,3,0,PERFORMANCE_CANDIDATE,repeated DOM rebuild/read pattern warrants render caching/diff review
bindPage,gyomuon.js,352,12,42,68,0,2,0,PERFORMANCE_CANDIDATE,binding function registers many listeners; inspect repeated invocation/idempotence
bindInputCenter,gyomuon.js,77,0,1,25,0,0,0,PERFORMANCE_CANDIDATE,binding function registers many listeners; inspect repeated invocation/idempotence
openStudentDrawer,gyomuon.js,66,3,12,9,0,0,0,PERFORMANCE_CANDIDATE,repeated DOM rebuild/read pattern warrants render caching/diff review
runAdmissionQuery,gyomuon.js,50,10,0,0,0,0,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
openAutoDeadlineBasicDialog,gyomuon.js,39,1,8,6,0,0,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
refineGrowth090,gyomuon.js,37,1,16,0,0,0,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
refineGrowthProfile,gyomuon.js,37,3,11,0,0,0,0,PERFORMANCE_CANDIDATE,repeated DOM rebuild/read pattern warrants render caching/diff review
runScoreQuery,gyomuon.js,35,7,0,0,0,0,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
renderSetupWizard,gyomuon.js,34,1,1,9,0,0,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
openAfterschoolProgramDrawer,gyomuon.js,32,1,0,9,0,0,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
openAccessControlPanel,gyomuon.js,32,1,9,3,0,0,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
openSourceReference,gyomuon.js,29,5,2,0,0,0,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
openStudentGuidanceDialog,gyomuon.js,28,2,8,0,0,1,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
openDormOutingTeacherEditor,gyomuon.js,25,1,10,0,0,0,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
openCounselSidePanel,gyomuon.js,24,1,8,1,0,0,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
bindSelectionAnalysis,gyomuon.js,24,0,0,8,0,0,0,PERFORMANCE_CANDIDATE,binding function registers many listeners; inspect repeated invocation/idempotence
openDormReportOverlay,gyomuon.js,24,1,5,3,0,0,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
openDormOutingDrawer,gyomuon.js,23,1,0,6,0,0,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
openStudentSignalDialog,gyomuon.js,23,2,5,1,0,0,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
openHomeroomWeekDrawer,gyomuon.js,23,1,0,6,0,0,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
openIssueReportDialog,gyomuon.js,23,1,8,0,0,1,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
printStudentDashboard,gyomuon.js,20,2,5,0,0,0,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
openDormGrowthStudent,gyomuon.js,18,1,2,3,0,0,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
openAccountPopover,gyomuon.js,18,1,4,1,0,1,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
openWorkNoticeDetail,gyomuon.js,17,1,0,4,0,0,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
openDashboardNightSlot,gyomuon.js,17,2,2,1,0,0,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
openEditableReference,gyomuon.js,17,3,1,0,0,0,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
render,gyomuon.js,16,2,0,2,0,0,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
openIssueManager,gyomuon.js,15,1,5,0,0,0,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
openWorkBoardEditor,gyomuon.js,14,1,0,3,0,0,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
openStudentAlertMessage,gyomuon.js,14,1,0,3,0,0,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
openHomeroomTeacherDetail,gyomuon.js,14,1,0,3,0,0,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
openDashboardStudentStatus,gyomuon.js,13,2,0,1,0,0,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
bindDashboardLayoutEditing,gyomuon.js,13,1,4,0,0,0,0,KEEP_REQUIRED,hotspot score alone does not prove runtime cost
