name,locations,classification,reason,identifierRefs,windowRefs,globalRefs,htmlHandlerRefs,stringRefs,exportRefs,ipcRefs
accessControlInlineMarkup,gyomuon.js:380910,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
admissionCutLimit,gyomuon.js:444317,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
admissionPairCompatible,gyomuon.js:869099,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
autoInferCareerDatesForClass,gyomuon.js:504204,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
bindSelectionAnalysis,gyomuon.js:1204925,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
calendarTitleFromRow,google-data.cjs:91287,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
canRevealStudentSensitiveInfo,gyomuon.js:795323,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
careerDateEditor,gyomuon.js:511889,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
completionStatusMarkup,gyomuon.js:759760,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
copyProgramFamilyLetter,gyomuon.js:1027790,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
copyProgramIndividualNotices,gyomuon.js:1026778,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
copyProgramRiroNotice,gyomuon.js:1026517,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
counselRecordLabel,gyomuon.js:463781,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
currentUserOvertimeTasks,gyomuon.js:686782,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
dashboardCompactNoticesMarkup,gyomuon.js:690521,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
dashboardCompactTasksMarkup,gyomuon.js:688014,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
dashboardSelectedDayMarkup,gyomuon.js:682832,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
dashboardStudentStatusMarkup,gyomuon.js:732042,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
dashboardTodayLessonsMarkup,gyomuon.js:678792,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
dashboardTopAlertsMarkup,gyomuon.js:753656,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
dateDistanceDays,gyomuon.js:506050,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
dateFromYmd,main.cjs:102691,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
dormProgramIsHolisticTarget,gyomuon.js:141804,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
dormRuleObjectFromRow,main.cjs:58062,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
emptyModule,gyomuon.js:332644,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
extractRecordCore,gyomuon.js:517646,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
fixedTeacherTimetableReference,gyomuon.js:659986,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
formatTaskCompletedAt,gyomuon.js:650913,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
genericRows,gyomuon.js:190494,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
getReadonlySheetsAuth,main.cjs:27012,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
homeroomWeekMarkup,gyomuon.js:674462,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
inputCenterApplyStudentNo,gyomuon.js:260102,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
inputCenterSuggestTarget,gyomuon.js:268193,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
internalNineGradeReferenceMap,gyomuon.js:422272,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
issueReportButtonMarkup,gyomuon.js:365295,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
nightMatrixStatus,gyomuon.js:172992,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
normalizeRecordEnding,gyomuon.js:518221,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
openMealDutyDrawer,gyomuon.js:796160,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
openProgramAttendanceQr,gyomuon.js:1019302,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
openStudentCounselEdit,gyomuon.js:774173,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
openStudentHubOverlay,gyomuon.js:916437,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
openStudentTimetableDrawer,gyomuon.js:850092,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
outputProgramCardMarkup,gyomuon.js:289395,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
parseSchoolCalendarMatrix,main.cjs:11467,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
prepareProgramSmsNotice,gyomuon.js:1018922,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
programTopTabs,gyomuon.js:573619,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
recordAreaPanel,gyomuon.js:493030,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
recordEvidenceSignals,gyomuon.js:518440,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
retryGoogleConnection,gyomuon.js:844085,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
safeWidget,gyomuon.js:678588,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
schoolScheduleTimetableMarkup,gyomuon.js:218098,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
sdgsEvidenceForGoal,gyomuon.js:528534,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
sendProgramEmailNotice,gyomuon.js:1018349,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
sheetNameFromRange,main.cjs:36554,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
signalRowsForStudent,gyomuon.js:795470,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
sortUniversitiesByPriority,gyomuon.js:864952,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
stripProgramDatesFromRecordText,gyomuon.js:548764,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
studentActivityOverview,gyomuon.js:850577,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
studentReportsOutputPanel,gyomuon.js:305727,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
studentStatsRankCard,gyomuon.js:878469,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
subjectsOutputPanel,gyomuon.js:295942,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
subjectsView,gyomuon.js:217567,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
tasksMarkup,gyomuon.js:80610,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
todayProgramsMarkup,gyomuon.js:792370,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
uepCompareSelectionHistory,gyomuon.js:1153674,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
uepSchoolGrowthGapSummary,gyomuon.js:1163835,NEEDS_RUNTIME_TRACE,feature entry/helper naming warrants runtime confirmation before deletion,1,0,0,0,0,0,0
workItemReadByCurrentUser,gyomuon.js:746388,SAFE_DELETE_CANDIDATE,single definition with no static call/global/string/handler evidence,1,0,0,0,0,0,0
