name,count,kinds,locations
close,6,arrow,gyomuon.js:57523 | gyomuon.js:377498 | gyomuon.js:645360 | gyomuon.js:779295 | gyomuon.js:783018 | gyomuon.js:1086626
add,5,arrow,gyomuon.js:438151 | gyomuon.js:486169 | gyomuon.js:1156986 | gyomuon.js:1202416 | main.cjs:46697
matches,3,arrow,gyomuon.js:850623 | gyomuon.js:875641 | gyomuon.js:894710
run,3,arrow,gyomuon.js:952328 | gyomuon.js:969670 | gyomuon.js:1139402
applyFix,2,function,gyomuon.js:1140892 | gyomuon.js:1143940
deleteDormRule,2,function,gyomuon.js:124384 | main.cjs:60256
enhance,2,function|arrow,gyomuon.js:1151873 | gyomuon.js:1164148
esc,2,arrow,gyomuon.js:1134067 | gyomuon.js:1170076
expectedSchoolPeriods,2,function,gyomuon.js:650707 | main.cjs:106487
find,2,arrow,gyomuon.js:225784 | gyomuon.js:419911
findPopupRoot,2,function,gyomuon.js:1140195 | gyomuon.js:1143101
finish,2,arrow,gyomuon.js:1000195 | main.cjs:81177
label,2,arrow,gyomuon.js:135102 | gyomuon.js:621674
match,2,arrow,gyomuon.js:795611 | gyomuon.js:852098
neisDateToLocalDate,2,function,gyomuon.js:650423 | main.cjs:106184
normalizeSelectionTerm,2,function|arrow,google-data.cjs:104672 | google-data.cjs:51207
opt,2,arrow,gyomuon.js:116903 | gyomuon.js:770891
push,2,arrow,gyomuon.js:618438 | main.cjs:155621
q,2,arrow,gyomuon.js:271257 | main.cjs:152022
render,2,function|arrow,gyomuon.js:68074 | gyomuon.js:1175953
rows,2,arrow,gyomuon.js:1090565 | gyomuon.js:1110721
sdgsDashboard,2,function,gyomuon.js:532165 | gyomuon.js:1156178
slotRange,2,function|arrow,gyomuon.js:168588 | google-data.cjs:39199
uepStudentApplicationDetail,2,function,gyomuon.js:1183931 | gyomuon.js:1194784
uepStudentApplicationView,2,function,gyomuon.js:1185645 | gyomuon.js:1196187
uepSubjectApplicationView,2,function,gyomuon.js:1188916 | gyomuon.js:1199513
updateStudents,2,arrow,gyomuon.js:957281 | gyomuon.js:958416
