name,definitions,identifierRefs,stringRefs,locations
accessControlInlineMarkup,1,1,0,gyomuon.js:380910
admissionCutLimit,1,1,0,gyomuon.js:444317
admissionPairCompatible,1,1,0,gyomuon.js:869099
autoInferCareerDatesForClass,1,1,0,gyomuon.js:504204
bindSelectionAnalysis,1,1,0,gyomuon.js:1204925
calendarTitleFromRow,1,1,0,google-data.cjs:91287
canRevealStudentSensitiveInfo,1,1,0,gyomuon.js:795323
careerDateEditor,1,1,0,gyomuon.js:511889
completionStatusMarkup,1,1,0,gyomuon.js:759760
copyProgramFamilyLetter,1,1,0,gyomuon.js:1027790
copyProgramIndividualNotices,1,1,0,gyomuon.js:1026778
copyProgramRiroNotice,1,1,0,gyomuon.js:1026517
counselRecordLabel,1,1,0,gyomuon.js:463781
currentUserOvertimeTasks,1,1,0,gyomuon.js:686782
dashboardCompactNoticesMarkup,1,1,0,gyomuon.js:690521
dashboardCompactTasksMarkup,1,1,0,gyomuon.js:688014
dashboardSelectedDayMarkup,1,1,0,gyomuon.js:682832
dashboardStudentStatusMarkup,1,1,0,gyomuon.js:732042
dashboardTodayLessonsMarkup,1,1,0,gyomuon.js:678792
dashboardTopAlertsMarkup,1,1,0,gyomuon.js:753656
dateDistanceDays,1,1,0,gyomuon.js:506050
dateFromYmd,1,1,0,main.cjs:102691
dormProgramIsHolisticTarget,1,1,0,gyomuon.js:141804
dormRuleObjectFromRow,1,1,0,main.cjs:58062
emptyModule,1,1,0,gyomuon.js:332644
extractRecordCore,1,1,0,gyomuon.js:517646
fixedTeacherTimetableReference,1,1,0,gyomuon.js:659986
formatTaskCompletedAt,1,1,0,gyomuon.js:650913
genericRows,1,1,0,gyomuon.js:190494
getReadonlySheetsAuth,1,1,0,main.cjs:27012
homeroomWeekMarkup,1,1,0,gyomuon.js:674462
inputCenterApplyStudentNo,1,1,0,gyomuon.js:260102
inputCenterSuggestTarget,1,1,0,gyomuon.js:268193
internalNineGradeReferenceMap,1,1,0,gyomuon.js:422272
issueReportButtonMarkup,1,1,0,gyomuon.js:365295
nightMatrixStatus,1,1,0,gyomuon.js:172992
normalizeRecordEnding,1,1,0,gyomuon.js:518221
openMealDutyDrawer,1,1,0,gyomuon.js:796160
openProgramAttendanceQr,1,1,0,gyomuon.js:1019302
openStudentCounselEdit,1,1,0,gyomuon.js:774173
openStudentHubOverlay,1,1,0,gyomuon.js:916437
openStudentTimetableDrawer,1,1,0,gyomuon.js:850092
outputProgramCardMarkup,1,1,0,gyomuon.js:289395
parseSchoolCalendarMatrix,1,1,0,main.cjs:11467
prepareProgramSmsNotice,1,1,0,gyomuon.js:1018922
programTopTabs,1,1,0,gyomuon.js:573619
recordAreaPanel,1,1,0,gyomuon.js:493030
recordEvidenceSignals,1,1,0,gyomuon.js:518440
retryGoogleConnection,1,1,0,gyomuon.js:844085
safeWidget,1,1,0,gyomuon.js:678588
schoolScheduleTimetableMarkup,1,1,0,gyomuon.js:218098
sdgsEvidenceForGoal,1,1,0,gyomuon.js:528534
sendProgramEmailNotice,1,1,0,gyomuon.js:1018349
sheetNameFromRange,1,1,0,main.cjs:36554
signalRowsForStudent,1,1,0,gyomuon.js:795470
sortUniversitiesByPriority,1,1,0,gyomuon.js:864952
stripProgramDatesFromRecordText,1,1,0,gyomuon.js:548764
studentActivityOverview,1,1,0,gyomuon.js:850577
studentReportsOutputPanel,1,1,0,gyomuon.js:305727
studentStatsRankCard,1,1,0,gyomuon.js:878469
subjectsOutputPanel,1,1,0,gyomuon.js:295942
subjectsView,1,1,0,gyomuon.js:217567
tasksMarkup,1,1,0,gyomuon.js:80610
todayProgramsMarkup,1,1,0,gyomuon.js:792370
uepCompareSelectionHistory,1,1,0,gyomuon.js:1153674
uepSchoolGrowthGapSummary,1,1,0,gyomuon.js:1163835
workItemReadByCurrentUser,1,1,0,gyomuon.js:746388
