name,file,chars,domWrites,domReads,events,observers,timers,dataCalls,score
normalizeAdmissionMatchText,gyomuon.js,273408,45,116,129,2,12,1,888
escapeHtml,gyomuon.js,191249,50,68,95,0,4,0,679
inputCenterExportCsv,gyomuon.js,337073,30,70,46,0,8,0,444
recordProgramMatchName,gyomuon.js,347097,47,34,36,0,3,0,417
bindPage,gyomuon.js,71443,12,42,68,0,2,0,352
bindInputCenter,gyomuon.js,6446,0,1,25,0,0,0,77
openStudentDrawer,gyomuon.js,24067,3,12,9,0,0,0,66
runAdmissionQuery,gyomuon.js,4345,10,0,0,0,0,0,50
openAutoDeadlineBasicDialog,gyomuon.js,5053,1,8,6,0,0,0,39
refineGrowth090,gyomuon.js,2522,1,16,0,0,0,0,37
refineGrowthProfile,gyomuon.js,1961,3,11,0,0,0,0,37
runScoreQuery,gyomuon.js,2623,7,0,0,0,0,0,35
renderSetupWizard,gyomuon.js,5519,1,1,9,0,0,0,34
openAfterschoolProgramDrawer,gyomuon.js,6925,1,0,9,0,0,0,32
openAccessControlPanel,gyomuon.js,5253,1,9,3,0,0,0,32
openSourceReference,gyomuon.js,2971,5,2,0,0,0,0,29
openStudentGuidanceDialog,gyomuon.js,4037,2,8,0,0,1,0,28
openDormOutingTeacherEditor,gyomuon.js,3581,1,10,0,0,0,0,25
openCounselSidePanel,gyomuon.js,4462,1,8,1,0,0,0,24
bindSelectionAnalysis,gyomuon.js,2495,0,0,8,0,0,0,24
openDormReportOverlay,gyomuon.js,1278,1,5,3,0,0,0,24
openDormOutingDrawer,gyomuon.js,11880,1,0,6,0,0,0,23
openStudentSignalDialog,gyomuon.js,3370,2,5,1,0,0,0,23
openHomeroomWeekDrawer,gyomuon.js,3361,1,0,6,0,0,0,23
openIssueReportDialog,gyomuon.js,2089,1,8,0,0,1,0,23
printStudentDashboard,gyomuon.js,6022,2,5,0,0,0,0,20
openDormGrowthStudent,gyomuon.js,3894,1,2,3,0,0,0,18
openAccountPopover,gyomuon.js,1224,1,4,1,0,1,0,18
openWorkNoticeDetail,gyomuon.js,3489,1,0,4,0,0,0,17
openDashboardNightSlot,gyomuon.js,2963,2,2,1,0,0,0,17
openEditableReference,gyomuon.js,2812,3,1,0,0,0,0,17
render,gyomuon.js,1764,2,0,2,0,0,0,16
openIssueManager,gyomuon.js,2360,1,5,0,0,0,0,15
openWorkBoardEditor,gyomuon.js,5016,1,0,3,0,0,0,14
openStudentAlertMessage,gyomuon.js,2545,1,0,3,0,0,0,14
openHomeroomTeacherDetail,gyomuon.js,2180,1,0,3,0,0,0,14
openDashboardStudentStatus,gyomuon.js,7226,2,0,1,0,0,0,13
bindDashboardLayoutEditing,gyomuon.js,2581,1,4,0,0,0,0,13
openOutputDialog,gyomuon.js,935,1,4,0,0,0,0,13
openReferenceDrawer,gyomuon.js,6401,2,1,0,0,0,0,12
openNoticeEditor,gyomuon.js,5589,1,2,1,0,0,0,12
load,gyomuon.js,5049,0,1,0,0,5,0,12
currentSignalStudent,gyomuon.js,2212,0,6,0,0,0,0,12
refreshHeaderRoleBadge,gyomuon.js,985,0,6,0,0,0,0,12
