"marker","source","present"
"__UEP_CURRICULUM_FINAL_08106__","patches\uep-0.81.06-curriculum-final.js","True"
"__UEP_CURRICULUM_SDGS_INTEGRATION_08105__","patches\uep-0.81.05-curriculum-sdgs.js","False"
"__UEP_FINAL_WORKFLOW_STYLE_08106__","patches\uep-0.81.06-final.css","True"
"__UEP_OPERATIONS_08108__","patches\uep-0.81.08-operations.js","False"
"__UEP_OPERATIONS_STYLE_08108__","patches\uep-0.81.08-operations.css","False"
"__UEP_RECORDBOOK_FILTER_DECISION_REPORT_08106__","patches\uep-0.81.06-recordcheck.js","False"
"__UEP_REFINEMENT_08107__","patches\uep-0.81.07-refinement.js","True"
"__UEP_REFINEMENT_STYLE_08107__","patches\uep-0.81.07-refinement.css","True"
"__UEP_SELECTION_SDGS_RECORDCHECK_PAGES_08104__","patches\uep-0.81.04-features.js","False"
"__UEP_SELECTION_SDGS_RECORDCHECK_STYLE_08104__","patches\uep-0.81.04-features.css","True"
