"page","view"
"autoStart","true"
"setupCompleted","false"
"alwaysOnTop","false"
"layoutLocked","true"
"useApiKey","false"
"apiKeyConfigured","false"
"visible","true"
"showTimes","true"
"startAlert","false"
"endAlert","false"
"dashboard","dashboardView"
"students","studentsView"
"dorm","dormView"
"timetable","timetableView"
"attendance","attendanceView"
"scores","scoresView"
"admissions","admissionsView"
"records","recordsView"
"programs","programsView"
"alerts","studentAlertsView"
"subjects","recordsView"
"calendar","calendarView"
"work","workView"
"duties","dutiesView"
"forms","formsView"
"inputs","inputCenterView"
"outputs","outputsView"
"communication","communicationView"
"settings","settingsView"
"help","helpView"
"force","true"
"force","false"
"visible","true"
"fontScale","scale"
"done","false"
