"kind","line","snippet"
"MutationObserver","11973","} } const obs=new MutationObserver(()=>requestAnimationFrame(refineGrowthProfile)); obs.observe(document.documentElement,{childList:true,subtree:true}); setTimeout(refineGrowthProfile,0);"
"MutationObserver","12056","} const run=()=>{refineGrowth090();refineStatsPrivacy090();}; const obs=new MutationObserver(()=>requestAnimationFrame(run));obs.observe(document.documentElement,{childList:true,subtree:true});setTimeout(run,0); })(); load();"
"MutationObserver","12137","} const obs=new MutationObserver(()=>requestAnimationFrame(applyFix)); obs.observe(document.documentElement,{childList:true,subtree:true}); window.addEventListener('resize',applyFix);"
"MutationObserver","12220","} const obs=new MutationObserver(()=>requestAnimationFrame(applyFix)); obs.observe(document.documentElement,{childList:true,subtree:true}); window.addEventListener('resize',applyFix);"
"MutationObserver","12281","else list.style.setProperty('overflow-y','auto','important'); } const obs=new MutationObserver(()=>requestAnimationFrame(apply)); obs.observe(document.documentElement,{childList:true,subtree:true}); window.addEventListener('resize',apply);"
"MutationObserver","12297","}); } const obs=new MutationObserver(()=>requestAnimationFrame(normalizeGoogleConnectionError)); obs.observe(document.documentElement,{childList:true,subtree:true,characterData:true}); setTimeout(normalizeGoogleConnectionError,250);"
"MutationObserver","12337","if(actions)actions.appendChild(button);else{const wrap=document.createElement('div');wrap.className='connection-actions';wrap.style.marginTop='12px';wrap.appendChild(button);drawer.appendChild(wrap);} } const obs=new MutationObserver(()=>requestAnimationFrame(enhance));obs.observe(document.documentElement,{childList:true,subtree:true}); setTimeout(enhance,300); })();"
"MutationObserver","12399","drawer.appendChild(note); } const obs=new MutationObserver(()=>requestAnimationFrame(annotateGoogleConnection)); obs.observe(document.documentElement,{childList:true,subtree:true}); setTimeout(annotateGoogleConnection,350);"
"MutationObserver","12453","} (function(){ const enhance=()=>{document.querySelectorAll('h1,h2,h3').forEach(h=>{if(/프로그램추천|프로그램 추천/.test(h.textContent||'')){const root=h.closest('section,main,div');if(root&&!root.querySelector('[data-growth-program-guide]')){const n=document.createElement('div');n.dataset.growthProgramGuide='1';n.className='growth-program-guide';n.innerHTML='<b>학생 성장 근거 기반 프로그램 추천</b><span>단순히 SDG 빈칸을 채우는 추천이 아닙니다. 학생들의 진로·탐구·공동체·사회문제 경험과 유네스코 지속가능발전교육의 관점을 함께 분석하여 학교교육과정에서 보완할 경험을 제안합니다.</span>';root.insertBefore(n,h.nextSibling);}}});};new MutationObserver(()=>requestAnimationFrame(enhance)).observe(document.documentElement,{subtree:true,childList:true});setTimeout(enhance,500); })(); // __UEP_AUTOLOGIN_WATCHDOG_08083__"
"setInterval","544","if(readonlyAutoRefreshTimer) clearInterval(readonlyAutoRefreshTimer); if(!googleConnectionStatus?.ok) return; readonlyAutoRefreshTimer=setInterval(()=>refreshReadonlyCacheSilently({force:true,rerender:true}),READONLY_AUTO_REFRESH_MS); }"
"setInterval","9215","clearInterval(studentPopupClockTimer); updateStudentPopupClock(); studentPopupClockTimer=setInterval(updateStudentPopupClock,1000); } function studentActivityOverview(student) {"
"setInterval","11836","const profileBox=document.querySelector('.profile'); if(profileBox){profileBox.addEventListener('click',openAccountPopover);profileBox.addEventListener('keydown',event=>{if(event.key==='Enter'||event.key===' '){event.preventDefault();openAccountPopover();}});} setInterval(updateHeroClock, 1000); setInterval(checkPeriodAlerts, 30000); setInterval(() => { const minutes = Number(state.settings.neis?.autoRefreshMinutes || 30); if (minutes > 0 && neisData?.fetchedAt && Date.now() - new Date(neisData.fetchedAt).getTime() >= minutes * 60000) loadNeisDashboard(true); }, 60000);"
"setInterval","11837","if(profileBox){profileBox.addEventListener('click',openAccountPopover);profileBox.addEventListener('keydown',event=>{if(event.key==='Enter'||event.key===' '){event.preventDefault();openAccountPopover();}});} setInterval(updateHeroClock, 1000); setInterval(checkPeriodAlerts, 30000); setInterval(() => { const minutes = Number(state.settings.neis?.autoRefreshMinutes || 30); if (minutes > 0 && neisData?.fetchedAt && Date.now() - new Date(neisData.fetchedAt).getTime() >= minutes * 60000) loadNeisDashboard(true); }, 60000);"
"setInterval","11838","setInterval(updateHeroClock, 1000); setInterval(checkPeriodAlerts, 30000); setInterval(() => { const minutes = Number(state.settings.neis?.autoRefreshMinutes || 30); if (minutes > 0 && neisData?.fetchedAt && Date.now() - new Date(neisData.fetchedAt).getTime() >= minutes * 60000) loadNeisDashboard(true); }, 60000); // __UEP_GLOBAL_RENDER_BRIDGE_08087__"
"setInterval","12458","(function(){ const started=Date.now(); const timer=setInterval(()=>{ try{ const gate=document.getElementById('userAuthGate');"
"setTimeout","352","return await Promise.race([ Promise.resolve(promise), new Promise((resolve) => { timer = setTimeout(() => resolve(fallback), milliseconds); }), ]); } finally {"
"setTimeout","432","// 외부 연결은 UI 초기화와 분리하고 서로 독립적인 작업은 병렬로 시작한다. // NEIS가 Google 캐시 완료를 기다리지 않도록 먼저 예약한다. setTimeout(() => loadNeisDashboard(false), 0); const credentialTask = window.schoolBoard?.googleCredentialStatus ? withStartupTimeout(window.schoolBoard.googleCredentialStatus(), 5000, null)"
"setTimeout","453","// 사용자는 기다리지 않고 UEP를 사용하며, 최신 Google Sheet가 도착하면 현재 화면만 갱신한다. if(googleConnectionStatus?.ok){ setTimeout(async()=>{ const ok=await refreshReadonlyCacheSilently({force:true,rerender:true}); if(ok){"
"setTimeout","469","await Promise.race([ initializeUserSessionGate(), new Promise(resolve=>setTimeout(()=>{ try{ if(state?.auth?.rememberUser&&state?.auth?.user){hideUserAuthGate();authSessionReady=true;state.auth.locked=false;}"
"setTimeout","480","// 인증정보가 없거나 복호화/유효성 검증에 실패한 경우에는 기존 setupCompleted 값과 무관하게 // 데이터 연결 단계에서 멈춘다. 학생정보 화면을 먼저 열어 권한부여를 건너뛰지 않는다. setTimeout(()=>openSetupWizard(3),50); }else if(!state.settings.setupCompleted){ setTimeout(()=>openSetupWizard(0),50);"
"setTimeout","482","setTimeout(()=>openSetupWizard(3),50); }else if(!state.settings.setupCompleted){ setTimeout(()=>openSetupWizard(0),50); }else{ setSetupWizardLock(false);"
"setTimeout","735","el.classList.add(""show""); clearTimeout(toast.timer); toast.timer = setTimeout(() => el.classList.remove(""show""), 1800); }"
"setTimeout","844","closeSensitivePasswordModal({current,first}); }; setTimeout(()=>layer.querySelector('[data-sensitive-current],[data-sensitive-first]')?.focus(),0); }); }"
"setTimeout","2064","const tabs=`<div class=""attendance-tabs dorm-tabs dorm-growth-tabs"">${termTabs}<button data-dorm-mode=""outing"" class=""${dormMode==='outing'?'active':''}"">학사운영규칙</button></div>`; if(dormMode==='outing'){ if(false)setTimeout(()=>refreshDormRulesFromReadonly({rerender:true,silent:true}),0); return `<div class=""module-page"">${tabs}${dormRuleManagementMarkup(currentStudents,outings)}</div>`; }"
"setTimeout","2982","const q=v=>'""'+String(v??'').replace(/""/g,'""""')+'""'; const csv='\ufeff'+[['학번','이름','학년','반','자료유형','자료제목','검수텍스트','원본파일'].map(q).join(','),...rows.map(r=>[r.studentNo,r.name,r.grade,r.className,r.type,r.title||r.fileName,r.reviewText||r.normalizedText||r.rawText||r.text,r.fileName].map(q).join(','))].join('\r\n'); const a=document.createElement('a');a.href=URL.createObjectURL(new Blob([csv],{type:'text/csv;charset=utf-8'}));a.download=`UEP_검수자료_${new Date().toISOString().slice(0,10)}.csv`;a.click();setTimeout(()=>URL.revokeObjectURL(a.href),1000);toast(`${rows.length}건을 CSV로 내보냈습니다.`); } function bindInputCenter(){"
"setTimeout","3381","function exportReportStatusExcel(reports){ const rows=[[""반"",""학번"",""이름"",""보고서그룹"",""프로그램명"",""구분"",""제출일시"",""매칭상태""],...reports.map(r=>[r.classNo||"""",r.studentNo||"""",r.studentName||r.name||"""",r.reportGroup||"""",r.programName||"""",r.kind||"""",r.submittedAt||"""",r.matchStatus||""""])]; const html=`<table>${rows.map(row=>`<tr>${row.map(c=>`<td>${xmlEscape(c)}</td>`).join("""")}</tr>`).join("""")}</table>`;const blob=new Blob([`\ufeff<html><meta charset=""utf-8""><body>${html}</body></html>`],{type:""application/vnd.ms-excel;charset=utf-8""});const a=document.createElement(""a"");a.href=URL.createObjectURL(blob);a.download=""UEP_보고서_제출현황.xls"";a.click();setTimeout(()=>URL.revokeObjectURL(a.href),1000); }"
"setTimeout","3457","a.download=""UEP_선택과목_신청내역.xls""; a.click(); setTimeout(()=>URL.revokeObjectURL(a.href),1000); }"
"setTimeout","3599","document.body.classList.add('uep-auth-locked');gate.classList.remove('hidden'); gate.innerHTML=`<section class=""user-auth-card auto-login-transition""><div class=""user-auth-brand""><span>U</span><div><small>UNHO EDUCATION PLATFORM</small><h2>자동 로그인 중…</h2><p>${escapeHtml(savedUser.name)} · ${escapeHtml(maskEmail(savedUser.email))}</p></div></div><div class=""auto-login-progress""><i></i></div><footer>저장된 사용자로 UEP를 시작합니다.</footer></section>`; await new Promise(resolve=>setTimeout(resolve,220)); } hideUserAuthGate();"
"setTimeout","3628","function closeAccountPopover(){document.querySelector('.account-popover')?.remove();} function openAccountPopover(){ closeAccountPopover();const p=currentUserProfile(),profile=document.querySelector('.profile');if(!profile||!authSessionReady)return;const pop=document.createElement('div');pop.className='account-popover';pop.innerHTML=`<div class=""account-popover-head""><span>${escapeHtml((p.name||'U').slice(0,1))}</span><div><b>${escapeHtml(p.name||'사용자')}</b><small>${escapeHtml([p.department,currentRoleDisplay()].filter(Boolean).join(' · '))}</small><em>${escapeHtml(maskEmail(p.email))}</em></div></div><button data-account-lock>화면 잠금<small>현재 화면을 가립니다</small></button><button data-account-switch>다른 사용자로 전환<small>교사명·이메일 다시 입력</small></button><button class=""danger"" data-account-logout>로그아웃<small>자동 로그인도 해제</small></button>`;document.body.appendChild(pop);const r=profile.getBoundingClientRect();pop.style.left=`${Math.max(12,r.left)}px`;pop.style.bottom=`${Math.max(12,window.innerHeight-r.top+8)}px`;pop.querySelector('[data-account-lock]').onclick=lockCurrentUser;pop.querySelector('[data-account-switch]').onclick=switchCurrentUser;pop.querySelector('[data-account-logout]').onclick=logoutCurrentUser;setTimeout(()=>document.addEventListener('pointerdown',accountPopoverOutside,{once:true}),0); } function accountPopoverOutside(event){if(!event.target.closest('.account-popover')&&!event.target.closest('.profile'))closeAccountPopover();}"
