name,kind,definitions,firstLine,finalLine,finalKind,action
"selectionComparisonsForStudent","FLATTEN","2","3039","11895","assignment","MERGE_INTO_CANONICAL"
"selectionComparisonMarkup","FLATTEN","3","3043","11988","assignment","MERGE_INTO_CANONICAL"
"selectionErrorHistoryMarkup","FLATTEN","3","3049","11998","assignment","MERGE_INTO_CANONICAL"
"sdgsDashboard","SHADOW","2","5729","12403","declaration","REMOVE_EARLIER_SHADOW_AFTER_PARITY"
"selectionErrorsForStudent","FLATTEN","2","5954","11928","assignment","MERGE_INTO_CANONICAL"
"recordsView","FLATTEN","2","6060","12591","assignment","MERGE_INTO_CANONICAL"
"findPopupRoot","SHADOW","2","12072","12145","declaration","REMOVE_EARLIER_SHADOW_AFTER_PARITY"
"applyFix","SHADOW","2","12090","12168","declaration","REMOVE_EARLIER_SHADOW_AFTER_PARITY"
"uepStudentApplicationDetail","SHADOW","2","12534","12574","declaration","REMOVE_EARLIER_SHADOW_AFTER_PARITY"
"uepStudentApplicationView","SHADOW","2","12535","12575","declaration","REMOVE_EARLIER_SHADOW_AFTER_PARITY"
"uepSubjectApplicationView","SHADOW","2","12536","12577","declaration","REMOVE_EARLIER_SHADOW_AFTER_PARITY"
"uepSelectionDataset","FLATTEN","2","12544","12613","assignment","MERGE_INTO_CANONICAL"
