name,line,classification,exportLike,registrationLike,definitionKind,replacement,replacementScore,decision,reason
"tasksMarkup","1289","UNREACHABLE_NO_HISTORY","false","false","declaration","setupWizardWidgetsMarkup","0.293","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"dormProgramIsHolisticTarget","1902","UNREACHABLE_NO_HISTORY","false","false","declaration","alertProgramIsRecordTarget","0.333","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"nightMatrixStatus","2242","UNREACHABLE_NO_HISTORY","false","false","declaration","programParticipationFor","0.243","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"subjectsView","2587","UNREACHABLE_NO_HISTORY","false","false","declaration","helpView","0.244","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"schoolScheduleTimetableMarkup","2591","UNREACHABLE_WITH_REPLACEMENT_CANDIDATE","false","false","declaration","calendarSelectedDayMarkup","0.493","REMOVE_AFTER_REPLACEMENT_PARITY","possible replacement calendarSelectedDayMarkup score=0.493"
"inputCenterApplyStudentNo","2899","UNREACHABLE_NO_HISTORY","false","false","declaration","inputCenterApplyOcrMatch","0.344","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"inputCenterSuggestTarget","2957","UNREACHABLE_NO_HISTORY","false","false","declaration","dormOutingIsMedical","0.211","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"outputProgramCardMarkup","3149","UNREACHABLE_NO_HISTORY","false","false","declaration","recordProgramReportCard","0.302","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"subjectsOutputPanel","3180","UNREACHABLE_NO_HISTORY","false","false","declaration","subjectPersonalOutputPanel","0.303","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"studentReportsOutputPanel","3220","UNREACHABLE_NO_HISTORY","false","false","declaration","reportsOutputPanel","0.380","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"emptyModule","3459","UNREACHABLE_NO_HISTORY","false","false","declaration","toolbar","0.261","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"issueReportButtonMarkup","3901","UNREACHABLE_NO_HISTORY","false","false","declaration","approvalListMarkup","0.182","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"accessControlInlineMarkup","4008","UNREACHABLE_WITH_REPLACEMENT_CANDIDATE","false","false","declaration","openAccessControlPanel","0.525","REMOVE_AFTER_REPLACEMENT_PARITY","possible replacement openAccessControlPanel score=0.525"
"internalNineGradeReferenceMap","4346","UNREACHABLE_NO_HISTORY","false","false","declaration","dashboardReportGroups","0.275","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"admissionCutLimit","4626","UNREACHABLE_WITH_REPLACEMENT_CANDIDATE","false","false","declaration","strictAdmissionCutLimit","0.571","REMOVE_AFTER_REPLACEMENT_PARITY","possible replacement strictAdmissionCutLimit score=0.571"
"counselRecordLabel","4780","UNREACHABLE_NO_HISTORY","false","false","declaration","inputCenterIsCompleted","0.333","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"recordAreaPanel","5125","UNREACHABLE_NO_HISTORY","false","false","declaration","recordProgramReportCard","0.435","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"autoInferCareerDatesForClass","5292","UNREACHABLE_NO_HISTORY","false","false","declaration","recordAreaCollection","0.212","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"dateDistanceDays","5335","UNREACHABLE_NO_HISTORY","false","false","declaration","attendanceIsWeekday","0.250","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"careerDateEditor","5428","UNREACHABLE_NO_HISTORY","false","false","declaration","recordEvidenceArticle","0.275","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"extractRecordCore","5524","UNREACHABLE_NO_HISTORY","false","false","declaration","recordEvidenceText","0.276","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"normalizeRecordEnding","5534","UNREACHABLE_NO_HISTORY","false","false","declaration","calendarEventTargetsFirstGrade","0.400","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"recordEvidenceSignals","5540","UNREACHABLE_NO_HISTORY","false","false","declaration","reportInterpretationClauses","0.351","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"sdgsEvidenceForGoal","5697","UNREACHABLE_WITH_REPLACEMENT_CANDIDATE","false","false","declaration","suggestSdgsForRows","0.500","REMOVE_AFTER_REPLACEMENT_PARITY","possible replacement suggestSdgsForRows score=0.500"
"stripProgramDatesFromRecordText","5923","UNREACHABLE_NO_HISTORY","false","false","declaration","calendarShortTitle","0.333","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"programTopTabs","6177","UNREACHABLE_NO_HISTORY","false","false","declaration","uepMainRecordTabs","0.276","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"formatTaskCompletedAt","6860","UNREACHABLE_WITH_REPLACEMENT_CANDIDATE","false","false","declaration","dateKeyLocal","0.615","REMOVE_AFTER_REPLACEMENT_PARITY","possible replacement dateKeyLocal score=0.615"
"fixedTeacherTimetableReference","6958","UNREACHABLE_NO_HISTORY","false","false","declaration","masterTeacherTimetableData","0.321","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"homeroomWeekMarkup","7114","UNREACHABLE_NO_HISTORY","false","false","declaration","toolbar","0.227","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"safeWidget","7168","UNREACHABLE_NO_HISTORY","false","false","declaration","widgetErrorCard","0.207","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"dashboardTodayLessonsMarkup","7173","UNREACHABLE_WITH_REPLACEMENT_CANDIDATE","false","false","declaration","dashboardPersonalWeekMarkup","0.455","REMOVE_AFTER_REPLACEMENT_PARITY","possible replacement dashboardPersonalWeekMarkup score=0.455"
"dashboardSelectedDayMarkup","7201","UNREACHABLE_WITH_REPLACEMENT_CANDIDATE","false","false","declaration","calendarSelectedDayMarkup","0.597","REMOVE_AFTER_REPLACEMENT_PARITY","possible replacement calendarSelectedDayMarkup score=0.597"
"currentUserOvertimeTasks","7222","UNREACHABLE_NO_HISTORY","false","false","declaration","todayProgramCollections","0.173","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"dashboardCompactTasksMarkup","7252","UNREACHABLE_NO_HISTORY","false","false","declaration","dashboardCompactProgramsMarkup","0.227","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"dashboardCompactNoticesMarkup","7274","UNREACHABLE_NO_HISTORY","false","false","declaration","dashboardCompactProgramsMarkup","0.373","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"dashboardStudentStatusMarkup","7799","UNREACHABLE_WITH_REPLACEMENT_CANDIDATE","false","false","declaration","dashboardStudentStatusCompactMarkup","0.747","REMOVE_AFTER_REPLACEMENT_PARITY","possible replacement dashboardStudentStatusCompactMarkup score=0.747"
"workItemReadByCurrentUser","7955","UNREACHABLE_NO_HISTORY","false","false","declaration","autoAlertOwnerKey","0.222","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"dashboardTopAlertsMarkup","8013","UNREACHABLE_NO_HISTORY","false","false","declaration","workAcknowledgedAutoMarkup","0.275","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"completionStatusMarkup","8066","UNREACHABLE_NO_HISTORY","false","false","declaration","dashboardCounselRowsMarkup","0.241","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"openStudentCounselEdit","8261","UNREACHABLE_NO_HISTORY","false","false","declaration","scoreStudentInfo","0.227","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"todayProgramsMarkup","8394","UNREACHABLE_NO_HISTORY","false","false","declaration","widgetErrorCard","0.347","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"canRevealStudentSensitiveInfo","8434","UNREACHABLE_NO_HISTORY","false","false","declaration","currentNoticeUserId","0.273","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"signalRowsForStudent","8440","UNREACHABLE_NO_HISTORY","false","false","declaration","studentFocusStudent","0.200","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"openMealDutyDrawer","8453","UNREACHABLE_WITH_REPLACEMENT_CANDIDATE","false","false","declaration","openTodayLunchSupervisorDrawer","0.534","REMOVE_AFTER_REPLACEMENT_PARITY","possible replacement openTodayLunchSupervisorDrawer score=0.534"
"retryGoogleConnection","9109","UNREACHABLE_WITH_REPLACEMENT_CANDIDATE","false","false","declaration","selectGoogleCredential","0.586","REMOVE_AFTER_REPLACEMENT_PARITY","possible replacement selectGoogleCredential score=0.586"
"openStudentTimetableDrawer","9205","UNREACHABLE_NO_HISTORY","false","false","declaration","renderDutyCalendarDrawer","0.333","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"studentActivityOverview","9217","UNREACHABLE_NO_HISTORY","false","false","declaration","programParticipationFor","0.254","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"sortUniversitiesByPriority","9355","UNREACHABLE_NO_HISTORY","false","false","declaration","inputCenterAllHistory","0.300","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"admissionPairCompatible","9425","UNREACHABLE_NO_HISTORY","false","false","declaration","admissionPairCompatibility","0.103","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"studentStatsRankCard","9555","UNREACHABLE_NO_HISTORY","false","false","declaration","studentCounselHistoryMarkup","0.354","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"sendProgramEmailNotice","10964","UNREACHABLE_NO_HISTORY","false","false","declaration","openProgramMessageComposer","0.279","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"prepareProgramSmsNotice","10972","UNREACHABLE_NO_HISTORY","false","false","declaration","programMessageDraft","0.310","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"openProgramAttendanceQr","10977","UNREACHABLE_NO_HISTORY","false","false","declaration","printProgram","0.360","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"copyProgramRiroNotice","11022","UNREACHABLE_NO_HISTORY","false","false","declaration","deleteOfficialAttendanceRow","0.179","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"copyProgramIndividualNotices","11026","UNREACHABLE_NO_HISTORY","false","false","declaration","programMessageDraft","0.310","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"copyProgramFamilyLetter","11037","UNREACHABLE_NO_HISTORY","false","false","declaration","deleteOfficialAttendanceRow","0.185","STRONG_DELETE_CANDIDATE","runtime unreachable; no historical references"
"uepCompareSelectionHistory","12356","UNREACHABLE_HISTORICAL_ONLY","false","false","declaration","uniqueActiveAlertStudents","0.269","STRONG_DELETE_CANDIDATE","runtime unreachable; only historical references remain"
"uepSchoolGrowthGapSummary","12448","UNREACHABLE_HISTORICAL_ONLY","false","false","declaration","dashboardCounselCacheSignature","0.174","STRONG_DELETE_CANDIDATE","runtime unreachable; only historical references remain"
"bindSelectionAnalysis","12593","UNREACHABLE_HISTORICAL_ONLY","false","false","declaration","uepStudentApplicationView","0.240","STRONG_DELETE_CANDIDATE","runtime unreachable; only historical references remain"
