name,line,fourthClass,runtimeRefs,stringRefs,windowRefs,historicalFiles,historicalSample,replacement,replacementScore,replacementRefs,classification
"tasksMarkup","1289","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","setupWizardWidgetsMarkup","0.293","2","UNREACHABLE_NO_HISTORY"
"dormProgramIsHolisticTarget","1902","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","alertProgramIsRecordTarget","0.333","2","UNREACHABLE_NO_HISTORY"
"nightMatrixStatus","2242","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","programParticipationFor","0.243","2","UNREACHABLE_NO_HISTORY"
"subjectsView","2587","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","helpView","0.244","2","UNREACHABLE_NO_HISTORY"
"schoolScheduleTimetableMarkup","2591","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","calendarSelectedDayMarkup","0.493","2","UNREACHABLE_WITH_REPLACEMENT_CANDIDATE"
"inputCenterApplyStudentNo","2899","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","inputCenterApplyOcrMatch","0.344","2","UNREACHABLE_NO_HISTORY"
"inputCenterSuggestTarget","2957","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","dormOutingIsMedical","0.211","4","UNREACHABLE_NO_HISTORY"
"outputProgramCardMarkup","3149","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","recordProgramReportCard","0.302","2","UNREACHABLE_NO_HISTORY"
"subjectsOutputPanel","3180","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","subjectPersonalOutputPanel","0.303","2","UNREACHABLE_NO_HISTORY"
"studentReportsOutputPanel","3220","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","reportsOutputPanel","0.380","2","UNREACHABLE_NO_HISTORY"
"emptyModule","3459","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","toolbar","0.261","30","UNREACHABLE_NO_HISTORY"
"issueReportButtonMarkup","3901","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","approvalListMarkup","0.182","3","UNREACHABLE_NO_HISTORY"
"accessControlInlineMarkup","4008","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","openAccessControlPanel","0.525","6","UNREACHABLE_WITH_REPLACEMENT_CANDIDATE"
"internalNineGradeReferenceMap","4346","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","dashboardReportGroups","0.275","6","UNREACHABLE_NO_HISTORY"
"admissionCutLimit","4626","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","strictAdmissionCutLimit","0.571","2","UNREACHABLE_WITH_REPLACEMENT_CANDIDATE"
"counselRecordLabel","4780","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","inputCenterIsCompleted","0.333","3","UNREACHABLE_NO_HISTORY"
"recordAreaPanel","5125","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","recordProgramReportCard","0.435","2","UNREACHABLE_NO_HISTORY"
"autoInferCareerDatesForClass","5292","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","recordAreaCollection","0.212","2","UNREACHABLE_NO_HISTORY"
"dateDistanceDays","5335","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","attendanceIsWeekday","0.250","2","UNREACHABLE_NO_HISTORY"
"careerDateEditor","5428","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","recordEvidenceArticle","0.275","3","UNREACHABLE_NO_HISTORY"
"extractRecordCore","5524","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","recordEvidenceText","0.276","6","UNREACHABLE_NO_HISTORY"
"normalizeRecordEnding","5534","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","calendarEventTargetsFirstGrade","0.400","2","UNREACHABLE_NO_HISTORY"
"recordEvidenceSignals","5540","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","reportInterpretationClauses","0.351","2","UNREACHABLE_NO_HISTORY"
"sdgsEvidenceForGoal","5697","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","suggestSdgsForRows","0.500","7","UNREACHABLE_WITH_REPLACEMENT_CANDIDATE"
"stripProgramDatesFromRecordText","5923","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","calendarShortTitle","0.333","4","UNREACHABLE_NO_HISTORY"
"programTopTabs","6177","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","uepMainRecordTabs","0.276","2","UNREACHABLE_NO_HISTORY"
"formatTaskCompletedAt","6860","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","dateKeyLocal","0.615","2","UNREACHABLE_WITH_REPLACEMENT_CANDIDATE"
"fixedTeacherTimetableReference","6958","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","masterTeacherTimetableData","0.321","3","UNREACHABLE_NO_HISTORY"
"homeroomWeekMarkup","7114","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","toolbar","0.227","30","UNREACHABLE_NO_HISTORY"
"safeWidget","7168","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","widgetErrorCard","0.207","2","UNREACHABLE_NO_HISTORY"
"dashboardTodayLessonsMarkup","7173","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","dashboardPersonalWeekMarkup","0.455","2","UNREACHABLE_WITH_REPLACEMENT_CANDIDATE"
"dashboardSelectedDayMarkup","7201","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","calendarSelectedDayMarkup","0.597","2","UNREACHABLE_WITH_REPLACEMENT_CANDIDATE"
"currentUserOvertimeTasks","7222","SAFE_DELETE_AFTER_SMOKE","1","0","0","0","","todayProgramCollections","0.173","4","UNREACHABLE_NO_HISTORY"
