name,kind,line,refs,hash,chars,class,note
"tasksMarkup","declaration","1288","1","1d0d0ab662ce","334","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"dormProgramIsHolisticTarget","declaration","1901","1","a9b21f6ebf5e","146","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"nightMatrixStatus","declaration","2241","1","ef00f4e79981","2108","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"subjectsView","declaration","2586","1","01fc539d8515","532","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"schoolScheduleTimetableMarkup","declaration","2590","1","622ff24aca66","1725","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"inputCenterApplyStudentNo","declaration","2898","1","abbdde46d66a","473","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"inputCenterSuggestTarget","declaration","2956","1","dcaa26fa3511","786","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"outputProgramCardMarkup","declaration","3148","1","767f0fbf5aa8","482","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"subjectsOutputPanel","declaration","3179","1","9dbb629047e7","1626","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"studentReportsOutputPanel","declaration","3219","1","a9de0426adfc","1162","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"emptyModule","declaration","3458","1","16930c5a7466","245","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"issueReportButtonMarkup","declaration","3900","1","c727adc13c96","129","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"accessControlInlineMarkup","declaration","4007","1","7bef93082111","2656","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"internalNineGradeReferenceMap","declaration","4345","1","8afa56881b01","1224","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"admissionCutLimit","declaration","4625","1","8a0bc1a8b151","337","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"counselRecordLabel","declaration","4779","1","5a177e53d590","55","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"recordAreaPanel","declaration","5124","1","82440f1c2433","1345","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"autoInferCareerDatesForClass","declaration","5291","1","aeb675fbb109","757","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
"dateDistanceDays","declaration","5334","1","2279f1ff4373","146","SAFE_DELETE_CANDIDATE","only declaration reference found in renderer; verify external IPC/HTML before deletion"
