name,kind,line,refs,hash,chars,class,note
"selectionComparisonsForStudent","declaration","3039","8","d664d3b3ac05","241","FLATTEN_OVERRIDE_CHAIN","assignment/override chain must be flattened into one canonical implementation"
"selectionComparisonsForStudent","assignment","11895","8","7cf504d5f30a","1519","FLATTEN_OVERRIDE_CHAIN","assignment/override chain must be flattened into one canonical implementation"
"selectionComparisonMarkup","declaration","3043","4","29f0c6d20a7a","1666","FLATTEN_OVERRIDE_CHAIN","assignment/override chain must be flattened into one canonical implementation"
"selectionComparisonMarkup","assignment","11917","4","1f952b0d9063","1793","FLATTEN_OVERRIDE_CHAIN","assignment/override chain must be flattened into one canonical implementation"
"selectionComparisonMarkup","assignment","11988","4","081de4675525","938","FLATTEN_OVERRIDE_CHAIN","assignment/override chain must be flattened into one canonical implementation"
"selectionErrorHistoryMarkup","declaration","3049","5","5b3fc155871e","1073","FLATTEN_OVERRIDE_CHAIN","assignment/override chain must be flattened into one canonical implementation"
"selectionErrorHistoryMarkup","assignment","11933","5","66e0e4dd3448","1570","FLATTEN_OVERRIDE_CHAIN","assignment/override chain must be flattened into one canonical implementation"
"selectionErrorHistoryMarkup","assignment","11998","5","276c394154a8","707","FLATTEN_OVERRIDE_CHAIN","assignment/override chain must be flattened into one canonical implementation"
"sdgsDashboard","declaration","5729","3","f5db4609cdd6","6018","SAFE_DELETE_SHADOWED_DECL","duplicate function declarations in same scope; last declaration wins, earlier declaration is shadowed; verify no scope boundary before deletion"
"sdgsDashboard","declaration","12403","3","fdbb9da5b771","7654","SAFE_DELETE_SHADOWED_DECL","duplicate function declarations in same scope; last declaration wins, earlier declaration is shadowed; verify no scope boundary before deletion"
"selectionErrorsForStudent","declaration","5954","13","fd5979f1cf04","411","FLATTEN_OVERRIDE_CHAIN","assignment/override chain must be flattened into one canonical implementation"
"selectionErrorsForStudent","assignment","11928","13","1c8a4e54d981","238","FLATTEN_OVERRIDE_CHAIN","assignment/override chain must be flattened into one canonical implementation"
"recordsView","declaration","6060","5","70fd17a139cb","4353","FLATTEN_OVERRIDE_CHAIN","assignment/override chain must be flattened into one canonical implementation"
"recordsView","assignment","12591","5","e18fea3de1d0","316","FLATTEN_OVERRIDE_CHAIN","assignment/override chain must be flattened into one canonical implementation"
"findPopupRoot","declaration","12072","4","ede9477d6fa9","696","SAFE_DELETE_SHADOWED_DECL","duplicate function declarations in same scope; last declaration wins, earlier declaration is shadowed; verify no scope boundary before deletion"
"findPopupRoot","declaration","12145","4","de11fb576e10","537","SAFE_DELETE_SHADOWED_DECL","duplicate function declarations in same scope; last declaration wins, earlier declaration is shadowed; verify no scope boundary before deletion"
"applyFix","declaration","12090","8","204af6369ffd","1818","SAFE_DELETE_SHADOWED_DECL","duplicate function declarations in same scope; last declaration wins, earlier declaration is shadowed; verify no scope boundary before deletion"
"applyFix","declaration","12168","8","eb1070e89e87","2133","SAFE_DELETE_SHADOWED_DECL","duplicate function declarations in same scope; last declaration wins, earlier declaration is shadowed; verify no scope boundary before deletion"
"uepStudentApplicationDetail","declaration","12534","4","690394466029","1713","SAFE_DELETE_SHADOWED_DECL","duplicate function declarations in same scope; last declaration wins, earlier declaration is shadowed; verify no scope boundary before deletion"
"uepStudentApplicationDetail","declaration","12574","4","1798d252d034","1402","SAFE_DELETE_SHADOWED_DECL","duplicate function declarations in same scope; last declaration wins, earlier declaration is shadowed; verify no scope boundary before deletion"
"uepStudentApplicationView","declaration","12535","3","d9f5375d4562","3270","SAFE_DELETE_SHADOWED_DECL","duplicate function declarations in same scope; last declaration wins, earlier declaration is shadowed; verify no scope boundary before deletion"
"uepStudentApplicationView","declaration","12575","3","015010c9c55d","3014","SAFE_DELETE_SHADOWED_DECL","duplicate function declarations in same scope; last declaration wins, earlier declaration is shadowed; verify no scope boundary before deletion"
"uepSubjectApplicationView","declaration","12536","3","577af7103041","2461","SAFE_DELETE_SHADOWED_DECL","duplicate function declarations in same scope; last declaration wins, earlier declaration is shadowed; verify no scope boundary before deletion"
"uepSubjectApplicationView","declaration","12577","3","4a3a021a404c","2438","SAFE_DELETE_SHADOWED_DECL","duplicate function declarations in same scope; last declaration wins, earlier declaration is shadowed; verify no scope boundary before deletion"
"uepSelectionDataset","declaration","12544","7","db113dea9137","1416","FLATTEN_OVERRIDE_CHAIN","assignment/override chain must be flattened into one canonical implementation"
"uepSelectionDataset","assignment","12613","7","6aee51295509","470","FLATTEN_OVERRIDE_CHAIN","assignment/override chain must be flattened into one canonical implementation"
