type,line,context
"MutationObserver","11973"," } } const obs=new MutationObserver(()=>requestAnimationFrame(refineGrowthProfile)); obs.observe(document.documentElement,{childList:true,subtree:true}); setTimeout(refineGrowthProfile,0);"
"MutationObserver","12056"," } const run=()=>{refineGrowth090();refineStatsPrivacy090();}; const obs=new MutationObserver(()=>requestAnimationFrame(run));obs.observe(document.documentElement,{childList:true,subtree:true});setTimeout(run,0); })(); load();"
"MutationObserver","12137"," } const obs=new MutationObserver(()=>requestAnimationFrame(applyFix)); obs.observe(document.documentElement,{childList:true,subtree:true}); window.addEventListener('resize',applyFix);"
"MutationObserver","12220"," } const obs=new MutationObserver(()=>requestAnimationFrame(applyFix)); obs.observe(document.documentElement,{childList:true,subtree:true}); window.addEventListener('resize',applyFix);"
"MutationObserver","12281"," else list.style.setProperty('overflow-y','auto','important'); } const obs=new MutationObserver(()=>requestAnimationFrame(apply)); obs.observe(document.documentElement,{childList:true,subtree:true}); window.addEventListener('resize',apply);"
"MutationObserver","12297"," }); } const obs=new MutationObserver(()=>requestAnimationFrame(normalizeGoogleConnectionError)); obs.observe(document.documentElement,{childList:true,subtree:true,characterData:true}); setTimeout(normalizeGoogleConnectionError,250);"
"MutationObserver","12337"," if(actions)actions.appendChild(button);else{const wrap=document.createElement('div');wrap.className='connection-actions';wrap.style.marginTop='12px';wrap.appendChild(button);drawer.appendChild(wrap);} } const obs=new MutationObserver(()=>requestAnimationFrame(enhance));obs.observe(document.documentElement,{childList:true,subtree:true}); setTimeout(enhance,300); })();"
"MutationObserver","12399"," drawer.appendChild(note); } const obs=new MutationObserver(()=>requestAnimationFrame(annotateGoogleConnection)); obs.observe(document.documentElement,{childList:true,subtree:true}); setTimeout(annotateGoogleConnection,350);"
"MutationObserver","12453","} (function(){ const enhance=()=>{document.querySelectorAll('h1,h2,h3').forEach(h=>{if(/프로그램추천|프로그램 추천/.test(h.textContent||'')){const root=h.closest('section,main,div');if(root&&!root.querySelector('[data-growth-program-guide]')){const n=document.createElement('div');n.dataset.growthProgramGuide='1';n.className='growth-program-guide';n.innerHTML='<b>학생 성장 근거 기반 프로그램 추천</b><span>단순히 SDG 빈칸을 채우는 추천이 아닙니다. 학생들의 진로·탐구·공동체·사회문제 경험과 유네스코 지속가능발전교육의 관점을 함께 분석하여 학교교육과정에서 보완할 경험을 제안합니다.</span>';root.insertBefore(n,h.nextSibling);}}});};new MutationObserver(()=>requestAnimationFrame(enhance)).observe(document.documentElement,{subtree:true,childList:true});setTimeout(enhance,500); })(); // __UEP_AUTOLO"
"setInterval","544"," if(readonlyAutoRefreshTimer) clearInterval(readonlyAutoRefreshTimer); if(!googleConnectionStatus?.ok) return; readonlyAutoRefreshTimer=setInterval(()=>refreshReadonlyCacheSilently({force:true,rerender:true}),READONLY_AUTO_REFRESH_MS); } "
"setInterval","9215"," clearInterval(studentPopupClockTimer); updateStudentPopupClock(); studentPopupClockTimer=setInterval(updateStudentPopupClock,1000); } function studentActivityOverview(student) {"
"setInterval","11836","const profileBox=document.querySelector('.profile'); if(profileBox){profileBox.addEventListener('click',openAccountPopover);profileBox.addEventListener('keydown',event=>{if(event.key==='Enter'||event.key===' '){event.preventDefault();openAccountPopover();}});} setInterval(updateHeroClock, 1000); setInterval(checkPeriodAlerts, 30000); setInterval(() => { const minutes = Number(state.settings.neis?.autoRefreshMinutes || 30); if (minutes > 0 && neisData?.fetchedAt && Date.now() - new Date(neisData.fetchedAt).getTime() >= minutes * 60000) loadNeisDashboard(true); }, 60000);"
"setInterval","11837","if(profileBox){profileBox.addEventListener('click',openAccountPopover);profileBox.addEventListener('keydown',event=>{if(event.key==='Enter'||event.key===' '){event.preventDefault();openAccountPopover();}});} setInterval(updateHeroClock, 1000); setInterval(checkPeriodAlerts, 30000); setInterval(() => { const minutes = Number(state.settings.neis?.autoRefreshMinutes || 30); if (minutes > 0 && neisData?.fetchedAt && Date.now() - new Date(neisData.fetchedAt).getTime() >= minutes * 60000) loadNeisDashboard(true); }, 60000); "
"setInterval","11838","setInterval(updateHeroClock, 1000); setInterval(checkPeriodAlerts, 30000); setInterval(() => { const minutes = Number(state.settings.neis?.autoRefreshMinutes || 30); if (minutes > 0 && neisData?.fetchedAt && Date.now() - new Date(neisData.fetchedAt).getTime() >= minutes * 60000) loadNeisDashboard(true); }, 60000); // __UEP_GLOBAL_RENDER_BRIDGE_08087__"
"setInterval","12458","(function(){ const started=Date.now(); const timer=setInterval(()=>{ try{ const gate=document.getElementById('userAuthGate');"
"requestAnimationFrame","530"," const scrollY=window.scrollY; render(state.activePage||'dashboard'); requestAnimationFrame(()=>window.scrollTo(0,scrollY)); } return true;"
"requestAnimationFrame","969"," $$('[data-page]').forEach(x=>x.classList.toggle('active',x.dataset.page==='students')); $('#pageKicker').textContent='학생 기본정보 기준 원장'; $('#pageTitle').textContent='학생정보'; render('students'); requestAnimationFrame(()=>window.scrollTo(0,originScroll)); studentFocusContext=null; return; } const index=(readonlyCache?.students||[]).findIndex(item=>String(item.id)===String(student.id));"
"requestAnimationFrame","989"," const scope=$('#scoreScope'),cls=$('#scoreClass'),sel=$('#scoreStudent'); if(scope)scope.value='individual'; if(cls){cls.value=classNo;cls.dispatchEvent(new Event('change'));} requestAnimationFrame(()=>{const target=$('#scoreStudent');if(target){target.value=student.id;$('#scoreQueryButton')?.click();}}); }else if(page==='admissions'){ const scope=$('#admissionScope'),cls=$('#admissionClass'); if(scope)scope.value='individual';"
"requestAnimationFrame","993"," const scope=$('#admissionScope'),cls=$('#admissionClass'); if(scope)scope.value='individual'; if(cls){cls.value=classNo;cls.dispatchEvent(new Event('change'));} requestAnimationFrame(()=>{const target=$('#admissionStudent');if(target){target.value=student.id;$('#admissionQueryButton')?.click();}}); }else if(page==='attendance'){ attendanceStatStudentFilter=attendanceStudentKey(student);"
"requestAnimationFrame","1139"," $(""[data-student-focus-return]"")?.addEventListener(""click"",returnToFocusedStudent); $(""[data-student-focus-end]"")?.addEventListener(""click"",endStudentFocus); if(studentFocusContext && page!==""students"") requestAnimationFrame(()=>applyStudentFocusToPage(page)); } catch (error) { console.error(error);"
"requestAnimationFrame","1716"," const category=el.dataset.dormRuleAdd||'exception'; dormRuleEditor(); requestAnimationFrame(()=>{const select=$('#dormRuleCategory');if(select){select.value=category;applyDormRuleEditorMode();}}); return; }"
"requestAnimationFrame","7611"," $(""#drawerBody"").innerHTML=`<div class=""history-summary positive""><span><small>기준일</small><b>${escapeHtml(day)}</b></span><span><small>시간대</small><b>${escapeHtml(slot)}</b></span><span><small>학생 수</small><b>${total}명</b></span></div><p class=""dashboard-night-guide"">반별 자습 인원을 한 화면에서 확인합니다.</p><div class=""dashboard-night-class-grid"">${classes.map(cls=>{const members=[...(groups.get(cls)?.values()||[])].sort((a,b)=>String(a.studentNo||'').localeCompare(String(b.studentNo||''),'ko'));return `<section><header><b>${cls}반</b><span>${members.length}명</span></header><div>${members.length?members.map(m=>`<button data-dashboard-night-student=""${escapeHtml(attendanceStudentKey(m))}"" data-dashboard-nigh"
"requestAnimationFrame","8205"," save(); render('students'); requestAnimationFrame(()=>{ document.querySelector('.student-counsel-center')?.scrollIntoView({block:'start'}); document.querySelector('.counsel-right-column')?.scrollIntoView({block:'nearest'});"
"requestAnimationFrame","8225"," studentCounselSelectedStudentId=button.dataset.counselStudent||''; render('students'); requestAnimationFrame(()=>document.querySelector('.counsel-right-column')?.scrollIntoView({block:'nearest'})); return; }"
"requestAnimationFrame","9703"," state.activePage='admissions'; render('admissions'); requestAnimationFrame(()=>applyStudentFocusToPage('admissions')); }else{ studentFocusContext=null;"
"requestAnimationFrame","9919","} function bindPage(page) { requestAnimationFrame(()=>{applyStorageLocationBadges();bindCommonCounselButtons();applyPrivacyMode();const pb=document.getElementById('privacyModeButton');if(pb&&!pb.dataset.bound){pb.dataset.bound='1';pb.addEventListener('click',togglePrivacyMode);}}); if(page===""inputs"")bindInputCenter(); if(page===""records""&&(recordMode===""curriculum""||recordMode===""sdgs""))requestAnimationFrame(()=>{"
"requestAnimationFrame","9921"," requestAnimationFrame(()=>{applyStorageLocationBadges();bindCommonCounselButtons();applyPrivacyMode();const pb=document.getElementById('privacyModeButton');if(pb&&!pb.dataset.bound){pb.dataset.bound='1';pb.addEventListener('click',togglePrivacyMode);}}); if(page===""inputs"")bindInputCenter(); if(page===""records""&&(recordMode===""curriculum""||recordMode===""sdgs""))requestAnimationFrame(()=>{ $$('[data-curriculum-workspace]').forEach(b=>b.onclick=()=>{curriculumWorkspaceMode=b.dataset.curriculumWorkspace;render('records');}); $$('[data-record-class]').forEach(b=>b.onclick=()=>{recordClassNo=b.dataset.recordClass;recordStudentId='';render('records');});"
"requestAnimationFrame","9934"," $('[data-copy-sdgs-supplement]')?.addEventListener('click',async()=>{try{await navigator.clipboard.writeText($('#sdgsSupplementText')?.value||'');toast('SDGs 근거 보완 질문을 복사했습니다.');}catch{toast('복사에 실패했습니다.');}}); }); if(page===""recordcheck"")requestAnimationFrame(()=>{const mount=document.getElementById(""standaloneRecordcheckMount"");if(mount&&window.uepMountRecordbookValidator)window.uepMountRecordbookValidator(mount);}); $$('[data-student-page-mode]').forEach(button=>button.onclick=()=>{studentPageMode=button.dataset.studentPageMode||""list"";render(""students"");window.scrollTo(0,0);}); $$('[data-student-counsel-history]').forEach(button=>button.onclick=()=>{const id=button.dataset.studentCounse"
"requestAnimationFrame","9936"," if(page===""recordcheck"")requestAnimationFrame(()=>{const mount=document.getElementById(""standaloneRecordcheckMount"");if(mount&&window.uepMountRecordbookValidator)window.uepMountRecordbookValidator(mount);}); $$('[data-student-page-mode]').forEach(button=>button.onclick=()=>{studentPageMode=button.dataset.studentPageMode||""list"";render(""students"");window.scrollTo(0,0);}); $$('[data-student-counsel-history]').forEach(button=>button.onclick=()=>{const id=button.dataset.studentCounselHistory;selectedStudentId=id;const idx=(readonlyCache?.students||[]).findIndex(s=>String(s.id)===String(id));if(idx>=0)studentDashboardIndex=idx;studentPageMode='dashboard';render('students');requestAnimationFrame("
"requestAnimationFrame","9949"," const expectedStudentIndex=studentDashboardIndex; const expectedSwitchToken=window.__uepStudentDashboardSwitchToken||0; requestAnimationFrame(()=>{ if(expectedStudentIndex!==studentDashboardIndex || expectedSwitchToken!==(window.__uepStudentDashboardSwitchToken||0))return; const host=$(""#studentDashboardEmbedded""); if(!host)return;"
