selector,context,count,classification,lines
".input-method-row","root","3","OVERRIDE_CONFLICT","6|57|92"
".input-method-row>b","root","3","OVERRIDE_CONFLICT","7|65|92"
".input-center-compact-setup","root","3","OVERRIDE_CONFLICT","10|23|92"
".input-center-compact-setup label","root","3","OVERRIDE_CONFLICT","11|30|92"
".input-center-compact-setup label.grow","root","2","OVERRIDE_CONFLICT","31|92"
".dashboard-report-program-row","root","2","OVERRIDE_CONFLICT","101|108"
".growth-sdg-detail article","root","2","OVERRIDE_CONFLICT","189|191"
"#drawer .approval-nav-row b","root","2","OVERRIDE_CONFLICT","205|217"
"#drawer .approval-nav-row span","root","2","OVERRIDE_CONFLICT","206|218"
"#drawer .approval-detail section b","root","2","OVERRIDE_CONFLICT","209|222"
"#drawer .approval-detail section p","root","2","OVERRIDE_CONFLICT","210|223"
".curriculum-filter-bar .record-class-cards","root","2","OVERRIDE_CONFLICT","262|266"
