selector,rules,earlierOnly,conflictCount,conflicts,classification
".input-method-row","3","border-bottom|padding|overflow-x","1","padding:.input-center-compact-setup input,.input-center-compact-setup select | .input-center-compact-setup select,
.input-review-filters select,
.input-center-meta select | .input-method-row button | .input-storage-inline","MANUAL_VISUAL_REVIEW"
".input-method-row>b","3","font-size|color|white-space","3","font-size:.input-center-compact-setup label | .input-method-row button || color:.input-center-compact-setup label | .input-center-compact-setup select,
.input-review-filters select,
.input-center-meta select | .input-method-row button | .input-method-row button.active | .input-storage-inline>span || white-space:.input-method-row button","MANUAL_VISUAL_REVIEW"
".input-center-compact-setup","5","margin-top|display|grid-template-columns|gap|align-items|width","4","margin-top:/* v0.80.36 input workflow compact */
.input-center-compact-setup | .input-center-actions.compact-actions | .input-center-paste.direct-only || display:.input-center-compact-setup label | .input-method-row | /* v0.80.36 input workflow compact */
.input-center-compact-setup | .input-center-actions.compact-actions | .input-storage-inline | .input-storage-inline label || gap:.input-center-compact-setup label | .input-method-row | /* v0.80.36 input workflow compact */
.input-center-compact-setup | .input-center-actions.compact-actions | .input-storage-inline | .input-storage-inline label || align-items:.input-method-row | /* v0.80.36 input workflow compact */
.input-center-compact-setup | .input-center-actions.compact-actions | .input-storage-inline | .input-storage-inline label","MANUAL_VISUAL_REVIEW"
".input-center-compact-setup label","3","font-size|font-weight|color|display|gap","5","font-size:.input-method-row button || font-weight:.input-center-compact-setup select,
.input-review-filters select,
.input-center-meta select | .input-method-row button || color:.input-center-compact-setup select,
.input-review-filters select,
.input-center-meta select | .input-method-row button | .input-method-row button.active || display:.input-center-compact-setup | .input-method-row | /* v0.80.36 input workflow compact */
.input-center-compact-setup || gap:.input-center-compact-setup | .input-method-row | /* v0.80.36 input workflow compact */
.input-center-compact-setup","MANUAL_VISUAL_REVIEW"
".input-center-compact-setup label.grow","4","flex-basis|flex","0","","SAFE_MOVE_TO_FINAL"
".communication-grid","2","display|gap","1","display:.communication-card span","MANUAL_VISUAL_REVIEW"
".dashboard-report-program-row","3","gap|display|align-items|column-gap|min-height|width|box-sizing","4","gap:.dashboard-report-student-detail .history-summary | .dashboard-report-program-list || display:.dashboard-report-student-detail .history-summary | .dashboard-report-program-list || width:/* v0.80.58 review: report status detail alignment */
.dashboard-report-student-detail | .dashboard-report-student-detail .history-summary | .dashboard-report-student-detail .history-summary>span | .dashboard-report-program-list | .dashboard-report-program-row>.btn.compact || box-sizing:/* v0.80.58 review: report status detail alignment */
.dashboard-report-student-detail | .dashboard-report-student-detail .history-summary | .dashboard-report-student-detail .history-summary>span | .dashboard-report-program-row>.btn.compact","MANUAL_VISUAL_REVIEW"
".dashboard-report-student-detail .history-summary","2","display|gap|width|box-sizing","4","display:.dashboard-report-program-list | .dashboard-report-program-row || gap:.dashboard-report-program-list || width:.dashboard-report-program-list | .dashboard-report-program-row | .dashboard-report-program-row>.btn.compact || box-sizing:.dashboard-report-program-row | .dashboard-report-program-row>.btn.compact","MANUAL_VISUAL_REVIEW"
".dashboard-report-program-row>.btn.compact","2","min-width|box-sizing|text-align","0","","SAFE_MOVE_TO_FINAL"
".growth-axis-grid","2","display|gap","2","display:.growth-value-mini | .growth-value-mini article | .growth-teacher-guide>div | .growth-teacher-guide em | .growth-sdg-grid | .growth-sdg-chip | .growth-sdg-detail article | .selection-compare-panel header | .selection-compare-grid | .selection-compare-title | .selection-compare-columns | .selection-compare-columns p | .selection-change-summary || gap:.growth-value-mini | .growth-teacher-guide>div | .growth-sdg-grid | .growth-sdg-chip | .growth-sdg-detail article | .selection-compare-panel header | .selection-compare-grid | .selection-compare-columns | .selection-compare-columns p | .selection-change-summary","MANUAL_VISUAL_REVIEW"
