name,literal,classList,template,query,classification
"input-title-field","0","0","0","0","STRONG_UNUSED_CANDIDATE"
"growth-guide-details","0","0","0","0","STRONG_UNUSED_CANDIDATE"
"growth-sdg-legend","0","0","0","0","STRONG_UNUSED_CANDIDATE"
"selection-hero","0","0","0","0","STRONG_UNUSED_CANDIDATE"
"selection-subject-summary","0","0","0","0","STRONG_UNUSED_CANDIDATE"
"selection-kpi-grid","0","0","0","0","STRONG_UNUSED_CANDIDATE"
"selection-section","0","0","0","0","STRONG_UNUSED_CANDIDATE"
"selection-error-group","0","0","0","0","STRONG_UNUSED_CANDIDATE"
"selection-message-list","0","0","0","0","STRONG_UNUSED_CANDIDATE"
"sdgs-page","0","0","0","0","STRONG_UNUSED_CANDIDATE"
