kind,name,cssRefs,directRefs,structuredRefs,classification
"class","input-title-field","2","0","0","UNUSED_SELECTOR_CANDIDATE"
"class","growth-guide-details","3","0","0","UNUSED_SELECTOR_CANDIDATE"
"class","growth-sdg-legend","5","0","0","UNUSED_SELECTOR_CANDIDATE"
"class","selection-hero","7","0","0","UNUSED_SELECTOR_CANDIDATE"
"class","selection-subject-summary","3","0","0","UNUSED_SELECTOR_CANDIDATE"
"class","selection-kpi-grid","6","0","0","UNUSED_SELECTOR_CANDIDATE"
"class","selection-section","5","0","0","UNUSED_SELECTOR_CANDIDATE"
"class","selection-error-group","5","0","0","UNUSED_SELECTOR_CANDIDATE"
"class","selection-message-list","4","0","0","UNUSED_SELECTOR_CANDIDATE"
"class","sdgs-page","1","0","0","UNUSED_SELECTOR_CANDIDATE"
