name,runtimeRefs,historyRefs,componentRefs,classAttr,selectorApi,classList,classification
"input-title-field","0","4","2073","0","0","0","STRONG_UNUSED_RUNTIME"
"growth-guide-details","0","9","604","0","0","0","STRONG_UNUSED_RUNTIME"
"growth-sdg-legend","0","14","353","0","0","0","STRONG_UNUSED_RUNTIME"
"selection-hero","0","17","402","0","0","0","STRONG_UNUSED_RUNTIME"
"selection-subject-summary","0","9","1274","0","0","0","STRONG_UNUSED_RUNTIME"
"selection-kpi-grid","0","15","3121","0","0","0","STRONG_UNUSED_RUNTIME"
"selection-section","0","15","1099","0","0","0","STRONG_UNUSED_RUNTIME"
"selection-error-group","0","13","1585","0","0","0","STRONG_UNUSED_RUNTIME"
"selection-message-list","0","11","946","0","0","0","STRONG_UNUSED_RUNTIME"
"sdgs-page","0","4","716","0","0","0","STRONG_UNUSED_RUNTIME"
