name,runtimeRefs,historyRefs,componentRefs,classAttr,selectorApi,classList,classification
"input-title-field","0","8","2073","0","0","0","STRONG_UNUSED_RUNTIME"
"growth-guide-details","0","14","604","0","0","0","STRONG_UNUSED_RUNTIME"
"growth-sdg-legend","0","21","353","0","0","0","STRONG_UNUSED_RUNTIME"
"selection-hero","0","26","402","0","0","0","STRONG_UNUSED_RUNTIME"
"selection-subject-summary","0","14","1274","0","0","0","STRONG_UNUSED_RUNTIME"
"selection-kpi-grid","0","23","3121","0","0","0","STRONG_UNUSED_RUNTIME"
"selection-section","0","22","1099","0","0","0","STRONG_UNUSED_RUNTIME"
"selection-error-group","0","20","1585","0","0","0","STRONG_UNUSED_RUNTIME"
"selection-message-list","0","17","946","0","0","0","STRONG_UNUSED_RUNTIME"
"sdgs-page","0","7","716","0","0","0","STRONG_UNUSED_RUNTIME"
