# UEP 0.81.71 data domain inventory

SHEET_RANGES count=36
RULE_SHEET_RANGES count=9

OTHER | 00_UEP설정 | '00_UEP설정'!A1:Z500 | cap=500
OTHER | 01_사용자계정 | '01_사용자계정'!A1:Z1000 | cap=1000
OTHER | 00_표준환경 | '00_표준환경'!A1:N500 | cap=500
STATIC_STUDENT | 02_학생마스터 | '02_학생마스터'!A1:Z1000 | cap=1000
STATIC_STUDENT | 04_학생연락식별정보 | '04_학생연락식별정보'!A1:Z1000 | cap=1000
OTHER | 05_대학적성데이터 | '05_대학적성데이터'!A1:Z1000 | cap=1000
STATIC_STUDENT | 06_선택과목이력 | '06_선택과목이력'!A1:AI1000 | cap=1000
OTHER | 18_학교교육과정DB | '18_학교교육과정DB'!A1:Z1000 | cap=1000
STATIC_STUDENT | 19_선택과목블록DB | '19_선택과목블록DB'!A1:T1000 | cap=1000
STATIC_STUDENT | 07_학생활동이력 | '07_학생활동이력'!A1:X3000 | cap=3000
OTHER | 08_생활기록부최종기록 | '08_생활기록부최종기록'!A1:X3000 | cap=3000
STATIC_STUDENT | 09_공통활동마스터 | '09_공통활동마스터'!A1:AH1000 | cap=1000
STATIC_STUDENT | 10_선택활동마스터 | '10_선택활동마스터'!A1:AL1000 | cap=1000
OTHER | 11_방과후학교 | '11_방과후학교'!A1:Z1000 | cap=1000
OTHER | 12_차시일정 | '12_차시일정'!A1:Z1000 | cap=1000
OTHER | 14_봉사활동확정 | '14_봉사활동확정'!A1:X5000 | cap=5000
OTHER | 13_출석부 | '13_출석부'!A1:Z5000 | cap=5000
DYNAMIC_OPERATIONAL | 16_프로그램출석실적 | '16_프로그램출석실적'!A1:Z10000 | cap=10000
STATIC_STUDENT | 17_시간표마스터 | '17_시간표마스터'!A1:N1000 | cap=1000
STATIC_STUDENT | 17A_교사시간표마스터 | '17A_교사시간표마스터'!A1:L1100 | cap=1100
STATIC_STUDENT | 20_학사생마스터 | '20_학사생마스터'!A1:Z1000 | cap=1000
DYNAMIC_OPERATIONAL | 30_공식출결기록 | '30_공결기록'!A1:Z3000 | cap=3000
DYNAMIC_OPERATIONAL | 31_지각기록 | '31_지각기록'!A1:Z1000 | cap=1000
DYNAMIC_OPERATIONAL | 40_공지마감 | '40_공지마감'!A1:Z2000 | cap=2000
DYNAMIC_OPERATIONAL | 44_공지확인현황 | '44_공지확인현황'!A1:R3000 | cap=3000
STATIC_STUDENT | 45_학생상담기록 | '45_학생상담기록'!A1:R5000 | cap=5000
STATIC_STUDENT | 46_학생지도기록 | '46_학생지도기록'!A1:R5000 | cap=5000
OTHER | 47_교육비지원 | '47_교육비지원'!A1:R1000 | cap=1000
STATIC_STUDENT | 48_요보호학생 | '48_요보호학생'!A1:P1000 | cap=1000
STATIC_STUDENT | 49_위기학생관리 | '49_위기학생관리'!A1:T1000 | cap=1000
DYNAMIC_OPERATIONAL | 42_급식지도계획 | '42_급식지도계획'!A1:K1000 | cap=1000
DYNAMIC_OPERATIONAL | 43_야자감독계획 | '43_야자감독계획'!A1:J1000 | cap=1000
OTHER | 50_내신DB | '50_내신DB'!A1:V7000 | cap=7000
OTHER | 51_모의고사DB | '51_모의고사DB'!A1:AH2000 | cap=2000
OTHER | 54_수능최저DB | '54_수능최저DB'!A1:Z1000 | cap=1000
OTHER | 55_대학입결DB | '55_대학입결DB'!A1:Z1000 | cap=1000

## RULES
RULE | 32_생기부작성우선순위 | '32_생기부작성우선순위'!A1:Z1000 | cap=1000
RULE | 31_생기부작성규칙 | '31_생기부작성규칙'!A1:N1000 | cap=1000
RULE | 33_생기부작성절대규칙 | '33_생기부작성절대규칙'!A1:Z1000 | cap=1000
RULE | 35_금지표현DB | '35_금지표현DB'!A1:Z1000 | cap=1000
RULE | 34_문장패턴DB | '34_문장패턴DB'!A1:Z1000 | cap=1000
RULE | 36_교사관찰표현DB | '36_교사관찰표현DB'!A1:Y1000 | cap=1000
RULE | 40_학사외출규칙 | '40_학사외출규칙'!A1:X1000 | cap=1000
RULE | 41_선택과목규칙 | '41_선택과목규칙'!A1:Q1000 | cap=1000
RULE | 53_외부자료입력규칙 | '53_외부자료입력규칙'!A1:P1000 | cap=1000
